"poi_id";"name";"str_hausnr";"plz_ort";"kategorie";"hauptkateg";"beschreib";"link";"bedeut_id";"bedeutung";"erstkateg";"angelegt";"geaendert";"kateg_id";"kateg_pfad";"rechts_utm";"hoch_utm";"abrufdatum"
"190868";"Bolzplatz Josephinenstraße/ Patmosstraße/ Lenneplatz";"Josephinenstr.";"44807 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2012-02-23";"2022-07-21";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"378031";"5706511";"2024-01-11"
"190864";"Bolzplatz Heckertstraße";"Heckertstr.";"44807 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2012-02-23";"2018-11-19";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"377428";"5706692";"2024-01-11"
"190846";"Kinderspielplatz und Bolzplatz (Schmechtingswiese) Freiligrathstraße";"Freiligrathstr.";"44791 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2012-02-23";"2018-11-19";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"376132";"5706165";"2024-01-11"
"190846";"Kinderspielplatz und Bolzplatz (Schmechtingswiese) Freiligrathstraße";"Freiligrathstr.";"44791 Bochum";"Spielplätze allgemein";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"0";"2012-02-23";"2018-11-19";"23683";"Freizeit Kultur Tourismus/Spielplätze/Spielplätze allgemein";"376132";"5706165";"2024-01-11"
"190834";"Bolzplatz Dorstener Straße / Lohstraße";"Lohstr.";"44809 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2012-02-23";"2018-11-19";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"374813";"5706378";"2024-01-11"
"190774";"Bolzplatz Friedhofstraße";"Friedhofstr.";"44866 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2012-02-22";"2018-11-19";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"370867";"5707315";"2024-01-11"
"190770";"Bolzplatz Günnigfelder Straße";"Günnigfelder Str.";"44793 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2012-02-22";"2018-11-19";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"372065";"5707447";"2024-01-11"
"190761";"Kinderspielplatz und Bolzplatz im Barbarapark";"Barbarastr.";"44793 Bochum";"Spielplätze allgemein";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2012-02-22";"2018-11-16";"23683";"Freizeit Kultur Tourismus/Spielplätze/Spielplätze allgemein";"373538";"5706985";"2024-01-11"
"190761";"Kinderspielplatz und Bolzplatz im Barbarapark";"Barbarastr.";"44793 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"0";"2012-02-22";"2018-11-16";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"373538";"5706985";"2024-01-11"
"190753";"Bolzplatz Stettiner Straße";"Stettiner Str.";"44809 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2012-02-22";"2018-11-20";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"373964";"5707062";"2024-01-11"
"190701";"Bolzplatz Händelstraße / Rosenberg";"Händelstr.";"44805 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2012-02-21";"2018-11-19";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"379517";"5707498";"2024-01-11"
"190697";"Bolzplatz Mörikestraße";"Mörikestr.";"44805 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2012-02-21";"2018-11-19";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"379726";"5707807";"2024-01-11"
"190668";"Kinderspielplatz und Bolzplatz Bockholtstraße";"Bockholtstr.";"44805 Bochum";"Spielplätze allgemein";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2012-05-15";"2012-05-15";"23683";"Freizeit Kultur Tourismus/Spielplätze/Spielplätze allgemein";"381193";"5707312";"2024-01-11"
"190668";"Kinderspielplatz und Bolzplatz Bockholtstraße";"Bockholtstr.";"44805 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"0";"2012-05-15";"2012-05-15";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"381193";"5707312";"2024-01-11"
"190628";"Bolzplatz Dreihügelstraße";"Dreihügelstr.";"44805 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"im Park Hiltrop";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2012-02-21";"2018-11-14";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"379769";"5708731";"2024-01-11"
"190625";"Kinderspielplatz und Bolzplatz Handwerksweg";"Handwerksweg";"44805 Bochum";"Spielplätze allgemein";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2012-03-07";"2012-03-07";"23683";"Freizeit Kultur Tourismus/Spielplätze/Spielplätze allgemein";"379528";"5708063";"2024-01-11"
"190625";"Kinderspielplatz und Bolzplatz Handwerksweg";"Handwerksweg";"44805 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"0";"2012-03-07";"2012-03-07";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"379528";"5708063";"2024-01-11"
"190621";"Kinderspielplatz und Bolzplatz Winterkamp";"Winterkamp";"44805 Bochum";"Spielplätze allgemein";"Freizeit Kultur Tourismus";"";"www.bochum.de";"3";"Örtlich";"1";"2012-07-04";"2012-07-04";"23683";"Freizeit Kultur Tourismus/Spielplätze/Spielplätze allgemein";"378991";"5708403";"2024-01-11"
"190621";"Kinderspielplatz und Bolzplatz Winterkamp";"Winterkamp";"44805 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de";"3";"Örtlich";"0";"2012-07-04";"2012-07-04";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"378991";"5708403";"2024-01-11"
"190613";"Bolzplatz Beisingstraße";"Beisingstr.";"44807 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2012-02-21";"2018-11-14";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"376476";"5708201";"2024-01-11"
"190609";"Bolzplatz Am Gartenkamp";"Am Gartenkamp";"44807 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum-fuer-kinder.de/bolzplaetze_4/bolzplatz-am-gartenkamp_308.htm";"3";"Örtlich";"1";"2012-02-21";"2020-05-07";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"375679";"5708323";"2024-01-11"
