wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,Ohne Sperrvermerk,Mit Sperrvermerk,Nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU,CDU,SPD,SPD,GR�NE,GR�NE,FDP,FDP,DIE LINKE,DIE LINKE,PIRATEN,PIRATEN,pro NRW,pro NRW,NPD,NPD,Tierschutzpartei,Tierschutzpartei,FAMILIE,FAMILIE,BIG,BIG,Die PARTEI,Die PARTEI,�DP,�DP,FBI/Freie W�hler,FBI/Freie W�hler,AUF,AUF,FREIE W�HLER,FREIE W�HLER,Partei der Vernunft,Partei der Vernunft
13.05.2012,Landtagswahl NRW,109,5911000,1608,820,711,109,0,365,0,7,6,358,359,60,46,178,164,46,57,7,14,20,20,47,43,,7,,1,,3,,1,,0,,2,,0,,1,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,1609,487,409,78,0,200,0,2,0,198,200,28,22,124,120,13,14,4,5,8,9,21,20,,2,,1,,5,,1,,0,,0,,0,,0,,1,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,1610,767,713,54,0,332,0,12,14,320,318,49,40,167,145,35,40,4,9,35,29,30,26,,8,,2,,2,,0,,15,,0,,1,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,109,5911000,1709,1097,937,160,0,490,1,7,9,483,481,84,65,262,241,51,54,12,24,27,29,47,40,,7,,0,,6,,1,,3,,8,,2,,0,,0,,0,,1
13.05.2012,Landtagswahl NRW,109,5911000,1801,1169,1008,161,0,514,0,7,7,507,507,87,74,285,277,46,48,14,16,17,19,58,43,,11,,7,,5,,1,,0,,3,,0,,2,,1,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,1802,935,781,154,0,381,2,18,16,363,365,70,55,190,173,34,42,2,5,26,21,41,25,,11,,11,,4,,2,,5,,6,,2,,0,,1,,2,,0
13.05.2012,Landtagswahl NRW,109,5911000,1803,654,572,82,0,299,0,4,5,295,294,36,30,178,180,29,27,4,5,18,11,30,25,,8,,5,,0,,3,,0,,0,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,1804,1045,895,150,0,450,1,12,16,438,434,85,68,226,221,46,44,9,20,22,20,50,42,,10,,4,,4,,0,,0,,0,,0,,1,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,1805,1017,874,143,0,395,3,14,7,381,388,62,47,210,216,31,31,7,14,24,26,47,45,,3,,3,,2,,1,,0,,0,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,1806,488,368,120,0,146,0,4,1,142,145,21,15,77,81,16,16,4,2,5,1,19,8,,7,,11,,2,,0,,1,,0,,0,,1,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,1807,676,593,83,0,257,0,2,2,255,255,44,43,132,117,19,31,11,11,11,12,38,30,,2,,1,,4,,1,,0,,2,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,109,5911000,1808,986,865,121,0,398,0,11,9,387,389,74,48,204,198,41,43,9,15,26,26,33,35,,5,,3,,3,,5,,4,,1,,1,,0,,0,,1,,1
13.05.2012,Landtagswahl NRW,109,5911000,1809,799,696,103,0,310,0,4,3,306,307,48,34,151,120,40,61,10,20,16,18,41,40,,1,,3,,1,,2,,5,,2,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2101,1040,894,146,0,433,0,8,10,425,423,100,83,208,211,24,23,14,17,21,17,58,38,,20,,3,,4,,2,,1,,2,,0,,0,,0,,2,,0
13.05.2012,Landtagswahl NRW,109,5911000,2102,922,826,96,0,388,0,11,8,377,380,86,68,166,159,42,45,11,19,22,25,50,31,,17,,4,,5,,2,,0,,1,,2,,0,,0,,0,,2
13.05.2012,Landtagswahl NRW,109,5911000,2103,633,557,76,0,277,0,8,6,269,271,44,36,143,137,20,19,19,20,12,11,31,21,,7,,11,,4,,3,,0,,1,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,109,5911000,2104,690,609,81,0,318,0,8,2,310,316,56,53,149,133,43,43,9,7,13,10,40,42,,12,,7,,1,,2,,2,,2,,0,,0,,0,,1,,1
13.05.2012,Landtagswahl NRW,109,5911000,2105,708,617,91,0,318,0,5,1,313,317,65,49,163,157,27,35,10,16,16,11,32,35,,6,,2,,2,,1,,0,,3,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2106,647,519,128,0,255,1,8,5,247,250,48,44,119,99,28,46,12,12,8,7,32,28,,3,,2,,1,,3,,2,,0,,0,,0,,2,,0,,1
13.05.2012,Landtagswahl NRW,109,5911000,2107,609,533,76,0,295,0,3,4,292,291,57,46,156,150,28,31,9,12,11,11,31,22,,4,,4,,7,,1,,1,,0,,0,,1,,0,,0,,1
13.05.2012,Landtagswahl NRW,109,5911000,2108,504,429,75,0,229,0,2,3,227,226,62,51,124,105,12,22,4,10,5,8,20,20,,3,,0,,2,,1,,1,,0,,0,,0,,2,,1,,0
13.05.2012,Landtagswahl NRW,109,5911000,2109,832,766,66,0,350,0,4,4,346,346,73,58,166,158,24,28,16,22,20,19,47,42,,9,,2,,3,,3,,0,,2,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2110,572,457,115,0,248,0,4,2,244,246,66,57,110,91,18,33,13,20,12,12,25,19,,5,,0,,2,,0,,1,,3,,0,,0,,0,,2,,1
13.05.2012,Landtagswahl NRW,109,5911000,2201,596,499,97,0,205,1,1,1,204,204,43,43,108,102,19,21,3,4,12,11,19,10,,6,,1,,4,,1,,0,,1,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2202,885,764,121,0,342,2,3,6,339,336,68,56,184,184,21,22,14,18,17,10,35,24,,11,,3,,3,,1,,0,,0,,1,,0,,0,,3,,0
13.05.2012,Landtagswahl NRW,109,5911000,2203,861,752,109,0,438,1,12,8,426,430,115,103,224,205,24,37,15,20,14,15,34,30,,8,,4,,2,,1,,1,,2,,0,,2,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2204,789,714,75,0,314,0,9,11,305,303,43,38,185,162,17,35,4,5,15,12,41,29,,8,,6,,2,,2,,3,,1,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2205,884,724,160,0,289,0,6,1,283,288,67,54,141,129,31,40,11,15,7,7,26,27,,6,,1,,5,,1,,0,,1,,0,,1,,0,,0,,1
13.05.2012,Landtagswahl NRW,109,5911000,2206,866,721,145,0,356,0,8,5,348,351,93,80,203,196,12,16,10,12,11,6,19,22,,7,,3,,3,,3,,0,,1,,1,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,109,5911000,2207,978,804,174,0,483,0,4,4,479,479,149,128,222,195,34,40,28,48,14,19,32,30,,10,,2,,4,,1,,0,,0,,0,,1,,0,,1,,0
13.05.2012,Landtagswahl NRW,109,5911000,2208,891,774,117,0,301,0,5,3,296,298,51,47,154,136,29,35,11,14,11,14,40,34,,7,,2,,1,,4,,0,,1,,0,,1,,0,,0,,2
13.05.2012,Landtagswahl NRW,109,5911000,2209,1451,1187,264,0,569,1,11,7,558,562,128,109,289,270,53,50,22,39,10,16,56,43,,21,,3,,4,,4,,0,,2,,1,,0,,0,,0,,0
