OBJECTID,Rechtswert,Hochwert,Kategorie,Adresse,Bezeichnun,Bezirk,Anzahl,Art,Stammdurch,Stammumfan,Anlass,Zeitpunkt,Bemerkunge
101,375833,5700686,Pflanzung,Deismanstrale,Stramenbtume,Sued-West,3,Stiel-Eichen, , ,StadtBaumKonzept,bis April 2019, 
102,375424,5702512,Pflanzung,Franz-Halz-Stra,Strazenbaum,Sued-West,1,Vogel-Kirschen, , ,StadtBaumKonzept,bis April 2019, 
103,371995,5699298,Pflanzung,Halfsmannwiese,Strasenbnume,Sued-West,5,Sumpf-Eichen: Vogel-Kirschen, , ,StadtBaumKonzept,bis April 2019, 
104,378651,5702250,Pflanzung,Alte Markstrade,Stra enbkume,Sued,7,Winter-Linden, , ,StadtBaumKonzept,bis April 2019, 
105,377233,5701208,Pflanzung,Gllcksbuger Stra,Strakenbgume,Sued,6,Amberbnume, , ,StadtBaumKonzept,bis April 2019, 
106,376380,5701209,Pflanzung,Knappenstrale,Strapenbtume,Sued,4,Birken, , ,StadtBaumKonzept,bis April 2019, 
107,375837,5699916,Pflanzung,Krockhaustraae,Strakenbsume,Sued,7,Birken, , ,StadtBaumKonzept,bis April 2019, 
108,377560,5701231,Pflanzung,Markstrage,Strasenbgume,Sued,4,Trauben-Eichen, , ,StadtBaumKonzept,bis April 2019, 
109,376594,5703193,Pflanzung,Ottilie-Schoenewald-Str.,StralenbSume,Sued,9,Birken, , ,StadtBaumKonzept,bis April 2019, 
110,375622,5701178,Pflanzung,Prinz-Regent-Str.,Strazenbgume,Sued,3,Schwedische Mehlbeeren, , ,StadtBaumKonzept,bis April 2019, 
111,380003,5702328,Pflanzung,Hustadtring,Straaenbiume,Sued,2,Trauben-Eichen, , ,StadtBaumKonzept,bis April 2019, 
112,384180,5704096,Pflanzung,Borchallee,Strahenbeume,Ost,4,Vogel-Kirschen, , ,StadtBaumKonzept,bis April 2019, 
113,383091,5707260,Pflanzung,Borgmannstraae,Stramenbsume,Ost,13,Scharlach-Kirschen: Vogel-Kirschen, , ,StadtBaumKonzept,bis April 2019, 
114,383220,5703401,Pflanzung,Dammstrage,Strasenbgume,Ost,7,Birken, , ,StadtBaumKonzept,bis April 2019, 
115,382842,5703858,Pflanzung,Dfrdelstrape,Straeenbrume,Ost,2,Spitz-Ahorn, , ,StadtBaumKonzept,bis April 2019, 
116,382782,5705695,Pflanzung,Fliederstrale,Stradenbtume,Ost,4,Nelken-Kirschen, , ,StadtBaumKonzept,bis April 2019, 
117,382890,5705388,Pflanzung,Im Kerkdahl,Straeenbaume,Ost,13,Birken, , ,StadtBaumKonzept,bis April 2019, 
118,382111,5703916,Pflanzung,In der Schuttenbeck,Straeenbcume,Ost,3,Vogel-Kirschen, , ,StadtBaumKonzept,bis April 20199, 
119,381463,5705508,Pflanzung,Mfserstra,Strarenbaume,Ost,9,Thtringische Mehlbeere, , ,StadtBaumKonzept,bis April 2019, 
120,382234,5706276,Pflanzung,Nfrenbergstrade,Stranenbgume,Ost,5,Spitz-Ahorn, , ,StadtBaumKonzept,bis April 2019, 
121,382690,5704858,Pflanzung,Oleanderweg,Stranenbwume,Ost,3,Berg-Ahorn, , ,StadtBaumKonzept,bis April 2019, 
122,383647,5703443,Pflanzung,Stockumer Straee,Strakenbrume,Ost,2,Winter-Linden, , ,StadtBaumKonzept,bis April 2019, 
123,382402,5705830,Pflanzung,Werner Hellweg,Straeenbaum,Ost,1,Stiel-Eiche, , ,StadtBaumKonzept,bis April 2019, 
124,382600,5702876,Pflanzung,Rebhuhnweg,Strauenbeume,Ost,2,Stiel-Eiche, , ,StadtBaumKonzept,bis April 2019, 
125,374792,5701772,Pflanzung,Hasenkampstrade,Stranenbpume,Sued-West,4,Tulpenbsume, , ,StadtBaumKonzept,bis April 2019, 
126,372298,5698975,Pflanzung,Hattinger Straee,Straienbrume,Sued-West,6,Vogel-Kirsche, , ,StadtBaumKonzept,bis April 2019, 
127,374664,5702551,Pflanzung,Knoopstra,Strapenbaume,Sued-West,7,Vogelbeere, , ,StadtBaumKonzept,bis April 2019, 
128,371804,5700317,Pflanzung,Scharpenseelstra,Strarenbsume,Sued-West,3,Birken, , ,StadtBaumKonzept,bis April 2019, 
129,375322,5702413,Pflanzung,Stensstra,Strasenbaume,Sued-West,7,Silber-Linden, , ,StadtBaumKonzept,bis April 2019, 
130,375973,5705292,Pflanzung,Wagenfeldstrade,Stranenbdume,Mitte,2,Parrotie, , ,StadtBaumKonzept,bis April 2019, 
131,375842,5703022,Pflanzung,Drusenbergstra,Straeenbrume,Mitte,2,Vogelbeere, , ,StadtBaumKonzept,bis April 2019, 
132,377036,5706735,Pflanzung,Heideller Stra,Straeenbrume,Nord,14,Stiel-Eichen, , ,StadtBaumKonzept,bis April 2019, 
133,383371,5703221,Pflanzung,Witte Wie,Straeenbaum,Ost,1,Laubbaum, , ,StadtBaumKonzept,bis April 2019, 
134,370353,5705044,Pflanzung,Alter Markt,Starrenbrume,Wattenscheid,3,Laubbnume, , ,StadtBaumKonzept,bis April 2019, 
135,373280,5702237,Pflanzung,Am Thie,Strahenbgume,Wattenscheid,3,Saulen-Stiel-Eichen, , ,StadtBaumKonzept,bis April 2019, 
136,375651,5702990,Pflanzung,Kulmer Strame,Straeenbtume,Mitte,20,Rot-Ahorn, , ,StadtBaumKonzept,bis April 2019, 
137,375912,5707036,Pflanzung,Dorstener Stra,Stratenbrume,Mitte,10,Siulen-Stiel-Eichen, , ,StadtBaumKonzept,2018, 
138,371064,5702869,Pflanzung,Herrenacker,Grrnverbindung,Wattenscheid,30,Trauben-Eichen, , ,StadtBaumKonzept,bis April 2019, 
139,374156,5701048,Pflanzung,Nevelstra,Obstwiese am Schlonpark,Sued-West,3,Spfel: Quitte, , , ,April 2019, 
140,375978,5707051,Pflanzung,Herner Strade,Wildnis frr Kinder,Mitte,3,Mpfel: Quitte, , , ,April 2019, 
141,380351,5707688,Pflanzung,Josef-Baumann-Str.,Zauberwald,Nord,6,Vogelbeeren: Speierling: Holzapfel, , , ,April 2019, 
142,378023,5697784,Pflanzung,Oveneystraee,Obstwiese,Sued,17,Spfel: Birnen: Pflaumen: Quitten, , , ,April 2019, 
143,380749,5703829,Pflanzung,Pmminger See,Obstwiese,Ost,22,Opfel: Pflaumen: Kirschen: Quitten, , , ,April 2019, 
144,376832,5708529,Pflanzung,Zillertalstraie, ,Mitte,15,Mpfel: Vogelbeeren: Elsbeere, , , ,April 2019, 
145,372116,5706901,Pflanzung,Am Blumenkamp, ,Mitte,8,Laubb, , , ,April 2019, 
146,371139,5700637,Pflanzung,Sudholzstrade,Obstwiese,Sued-West,55,Spfel: Birnen: Pflaumen: Kirschen: Quitte: Walnu, , , ,April 2019, 
147,381046,5704485,Pflanzung,Am Koppst,Kinderspielplatz,Ost,7,Opfel: Birnen: Walnuss, , , ,April 2019, 
