"poi_id";"name";"str_hausnr";"plz_ort";"kategorie";"hauptkateg";"beschreib";"link";"bedeut_id";"bedeutung";"erstkateg";"angelegt";"geaendert";"kateg_id";"kateg_pfad";"rechts_utm";"hoch_utm";"abrufdatum"
"22414";"Caritas-Kindertageseinrichtung St. Philipp";"Bergstr. 224";"44807 Bochum";"Kindertagesstätten freie Wohlfahrtsverbände";"Soziales";"";"www.caritas-bochum.de/77532.html";"3";"Örtlich";"1";"2009-07-18";"2018-10-31";"23595";"Soziales/Kindertagesstätten/Kindertagesstätten freie Wohlfahrtsverbände";"376792";"5706881";"2023-10-17"
"22410";"Ev. Kindertageseinrichtung Anemonenweg";"Anemonenweg 14";"44894 Bochum";"Ev. Kindertagesstätten";"Soziales";"";"www.kitaportal-bochum.de";"3";"Örtlich";"1";"2009-07-18";"2023-01-19";"23584";"Soziales/Kindertagesstätten/Ev. Kindertagesstätten";"381209";"5704845";"2023-10-17"
"22391";"AWO Kindertageseinrichtung / Familienzentrum Eulenbaumstraße";"Eulenbaumstr. 271";"44801 Bochum";"Kindertagesstätten freie Wohlfahrtsverbände";"Soziales";"";"www.awo-ruhr-mitte.de/kinder-jugend-familie/kindertagesstaetten";"3";"Örtlich";"1";"2009-07-18";"2023-08-29";"23595";"Soziales/Kindertagesstätten/Kindertagesstätten freie Wohlfahrtsverbände";"379777";"5701660";"2023-10-17"
"22386";"Städt. Kindertageseinrichtung Nörenbergskamp";"Nörenbergskamp 14";"44894 Bochum";"Kommunale Kindertagesstätten";"Soziales";"";"www.kitaportal-bochum.de/profil/8";"3";"Örtlich";"1";"2009-07-18";"2023-01-19";"23583";"Soziales/Kindertagesstätten/Kommunale Kindertagesstätten";"382523";"5706135";"2023-10-17"
"22381";"Ev. Kindertageseinrichtung An der Hiltroper Kirche";"An der Hiltroper Kirche 2 b";"44805 Bochum";"Ev. Kindertagesstätten";"Soziales";"";"www.kitaportal-bochum.de/profil/157";"3";"Örtlich";"1";"2009-07-18";"2018-10-31";"23584";"Soziales/Kindertagesstätten/Ev. Kindertagesstätten";"379248";"5708498";"2023-10-17"
"22373";"Kath.Kindertageseinrichtung / Familienzentrum St. Paulus";"Robert-Koch-Str. 33";"44801 Bochum";"Kath. Kindertagesstätten";"Soziales";"";"www.kitaportal-bochum.de/profil/115";"3";"Örtlich";"1";"2009-07-18";"2023-08-29";"23585";"Soziales/Kindertagesstätten/Kath. Kindertagesstätten";"379980";"5702082";"2023-10-17"
"22372";"Ev. Kindertageseinrichtung Birkhuhnweg";"Birkhuhnweg 4";"44892 Bochum";"Ev. Kindertagesstätten";"Soziales";"";"www.kitaportal-bochum.de/profil/171";"3";"Örtlich";"1";"2009-07-18";"2023-01-19";"23584";"Soziales/Kindertagesstätten/Ev. Kindertagesstätten";"382328";"5702679";"2023-10-17"
"22371";"Waldorf-Kindergarten e.V. (Hauptstraße)";"Hauptstr. 236";"44892 Bochum";"Waldorf Kindertagesstätten";"Soziales";"";"www.waldorfkindergarten-bochum.de";"3";"Örtlich";"1";"2012-12-03";"2012-12-03";"205419";"Soziales/Kindertagesstätten/Waldorf Kindertagesstätten";"383436";"5703405";"2023-10-17"
"22368";"Ev. Kindertageseinrichtung Thomaszentrum";"Girondelle 82 a";"44799 Bochum";"Ev. Kindertagesstätten";"Soziales";"";"www.kitaportal-bochum.de/profil/150";"3";"Örtlich";"1";"2009-07-18";"2018-10-31";"23584";"Soziales/Kindertagesstätten/Ev. Kindertagesstätten";"378215";"5701836";"2023-10-17"
"22367";"Städt. Kindertageseinrichtung Stockumer Straße";"Stockumer Str. 48";"44892 Bochum";"Kommunale Kindertagesstätten";"Soziales";"";"www.kitaportal-bochum.de/profil/10";"3";"Örtlich";"1";"2009-07-18";"2023-01-19";"23583";"Soziales/Kindertagesstätten/Kommunale Kindertagesstätten";"383999";"5703075";"2023-10-17"
"22364";"AWO Kindertageseinrichtung / Familienzentrum Haldenstraße";"Haldenstr. 75";"44809 Bochum";"Kindertagesstätten freie Wohlfahrtsverbände";"Soziales";"";"www.awo-ruhr-mitte.de/kinder_jugend_familie";"3";"Örtlich";"1";"2009-07-18";"2023-01-18";"23595";"Soziales/Kindertagesstätten/Kindertagesstätten freie Wohlfahrtsverbände";"375426";"5706052";"2023-10-17"
"22357";"Städt. Kindertageseinrichtung Akademiestraße";"Akademiestr. 48";"44789 Bochum";"Kommunale Kindertagesstätten";"Soziales";"";"www.kitaportal-bochum.de/profil/12";"3";"Örtlich";"1";"2009-07-18";"2023-01-18";"23583";"Soziales/Kindertagesstätten/Kommunale Kindertagesstätten";"377350";"5704473";"2023-10-17"
"22353";"AWO Kindertageseinrichtung / Familienzentrum Am Neggenborn";"Am Neggenborn 77";"44892 Bochum";"Kindertagesstätten freie Wohlfahrtsverbände";"Soziales";"";"www.awo-ruhr-mitte.de/kinder-jugend-familie/kindertagesstaetten";"3";"Örtlich";"1";"2009-07-18";"2023-01-19";"23595";"Soziales/Kindertagesstätten/Kindertagesstätten freie Wohlfahrtsverbände";"382268";"5703007";"2023-10-17"
"22349";"Ev. Kindertageseinrichtung Arche Noah (Alte Weststraße)";"Alte Weststr. 27";"44892 Bochum";"Ev. Kindertagesstätten";"Soziales";"";"kita-arche-noah-bochum.de";"3";"Örtlich";"1";"2009-07-18";"2023-01-19";"23584";"Soziales/Kindertagesstätten/Ev. Kindertagesstätten";"382461";"5703363";"2023-10-17"
"22347";"Ev. Kindertageseinrichtung Auf dem Backenberg/ Familienzentrum";"Auf dem Backenberg 6";"44801 Bochum";"Ev. Kindertagesstätten";"Soziales";"";"www.kitaportal-bochum.de";"3";"Örtlich";"1";"2009-07-18";"2023-08-29";"23584";"Soziales/Kindertagesstätten/Ev. Kindertagesstätten";"379788";"5701840";"2023-10-17"
"22346";"Ev. Kindertageseinrichtung Allensteiner Straße";"Allensteiner Str. 1 a";"44809 Bochum";"Ev. Kindertagesstätten";"Soziales";"";"www.kitaportal-bochum.de/profil";"3";"Örtlich";"1";"2009-07-18";"2018-10-30";"23584";"Soziales/Kindertagesstätten/Ev. Kindertagesstätten";"374149";"5707463";"2023-10-17"
"22345";"Ev. Kindertageseinrichtung KiWi-Nest";"Baumhofstr. 9";"44799 Bochum";"Ev. Kindertagesstätten";"Soziales";"";"www.kitaportal-bochum.de/profil/149";"3";"Örtlich";"1";"2009-07-18";"2018-10-30";"23584";"Soziales/Kindertagesstätten/Ev. Kindertagesstätten";"377004";"5700967";"2023-10-17"
"22344";"AWO Kindertageseinrichtung Moltkestraße";"Moltkestr. 68";"44866 Bochum";"Kindertagesstätten freie Wohlfahrtsverbände";"Soziales";"";"www.awo-ruhr-mitte.de/kinder-jugend-familie/kindertagesstaetten";"3";"Örtlich";"1";"2009-07-18";"2023-01-18";"23595";"Soziales/Kindertagesstätten/Kindertagesstätten freie Wohlfahrtsverbände";"371573";"5705807";"2023-10-17"
"22342";"Kath. Kindertageseinrichtung St. Maria Magdalena";"Vincenzstr. 13";"44869 Bochum";"Kath. Kindertagesstätten";"Soziales";"";"www.kita-st-maria-magdalena-bochum.de/";"3";"Örtlich";"1";"2009-07-18";"2023-04-13";"23585";"Soziales/Kindertagesstätten/Kath. Kindertagesstätten";"371587";"5702778";"2023-10-17"
"22341";"Kath. Kindertageseinrichtung St. Franziskus";"Auf der Markscheide 34";"44807 Bochum";"Kath. Kindertagesstätten";"Soziales";"";"www.kita-zweckverband.de/kita-suche/bochum.html";"3";"Örtlich";"1";"2009-07-18";"2019-06-07";"23585";"Soziales/Kindertagesstätten/Kath. Kindertagesstätten";"375979";"5707962";"2023-10-17"
