Art;Bezeichnung;Adresse;Bezirk;Spielfeld;Belag;Maﬂe;"Beleuchtung
 vorhanden";LA-Anlagen;
;;;;;;;;;
Sportplatzanlage;"Am Hausacker
";Am Hausacker 43 a;1;Groﬂspielfeld;Hartplatz;64,2 x 104,6;ja;WS;WS = Weitsprung
;;;4;Groﬂspielfeld;Rasenplatz;68,0 x 105,1;nein;-
Sportplatzanlage;Unterstraﬂe;Unterstraﬂe 98;4;Groﬂspielfeld;Rasenplatz;70,1 x 101,1;nein;-
Sportplatzanlage;Urbanusstraﬂe;Urbanusstraﬂe 55;4;Groﬂspielfeld;Kunstrasenplatz;99,9 x 63,9;ja;-
Sportplatzanlage;Volkspark Langendreer;Hohe Eiche 42;4;Groﬂspielfeld;Kunstrasenplatz;64,0 x 100,0;ja;KS, WS
Sportplatzanlage;Waldesrand;Heidelbeerweg 8;6;Groﬂspielfeld;Hartplatz;59,9 x 89,0;ja;-
;;;6;Groﬂspielfeld;Rasenplatz;64,7 x 99,8;nein;-
Sportplatzanlage;WAT Hellweg/AdEsch;Wattenscheider Hellweg 138;2;Groﬂspielfeld;Hartplatz;66,1 x 105,2;ja;-
;;;2;Groﬂspielfeld;Rasenplatz ;nicht meﬂbar;nein;-
Sportplatzanlage;Westenfeld;Lohacker Straﬂe 7 d;2;Groﬂspielfeld;Hartplatz;68,9 x 104,9;ja;RL, KS, WS
Sportplatzanlage;Westerholtstraﬂe/Hustadt;Hustadtring 5;5;Groﬂspielfeld;Rasenplatz ;68,0 x 104,9;nein;RL, KS, WS
Sportplatzanlage;Wielandstraﬂe;Wielandstraﬂe 120;1;Groﬂspielfeld;Kunstrasenplatz;64,0 x 110,0;ja;RL, KS, WS
Sportplatzanlage;Wohlfahrtstraﬂe;Wohlfahrtstraﬂe 15;5;Groﬂspielfeld;Rasenplatz;69,0 x 110,0;nein;-
;;;5;Kleinspielfeld;Hartplatz;35,0 x 70,0;nein;-
Sportplatzanlage;Zum Schultenhof;Zum Schultenhof 101 a;3;Groﬂspielfeld;Rasenplatz;53,3 x 103,9;;
Sportplatzanlage;Zur Burkuhle;Zur Burkuhle 86;3;Groﬂspielfeld;Hartplatz;67,1 x 105,2;ja;-
;;;3;Groﬂspielfeld;Rasenplatz;68,1 x 105,3;nein;RL, KS, WS
Sporthalle;Gl¸cksburger Straﬂe;Gl¸cksburger Straﬂe 25;5;1-fach Turnhalle;;12,5 x 25,00;;
Sporthalle;Lohrheide;Lohrheidestraﬂe 80-82;2;1-fach Turnhalle;;18,00 x 33,00;;
Sporthalle ;Heinrich Straﬂe;Heinrich Straﬂe 44-48;3;1-fach Turnhalle;;12,00 x 27,00 ;;
Sporthalle;Pestalozzistr.;Pestalozzistraﬂe 25;1;1-fach Turnhalle;;12,50 x 25,00;;
Sporthalle;Rundsporthalle;Stadionring 18;1;3-fach Sorthalle;;27,00 x 48,00;;
;;;;Rundlaufbahn;;L‰nge 166,6;;
;;;;Kraftsportfl‰che;;8,00 x 24,00;;
;;;;Mehrzweckfl‰che;;8,00 x 24,00;;
Sporthalle;G¸nnigfeld;Martin-Lang-Str. 2;2;2-fachTurnhalle;;21,00 x 45,00;;
Sportzentrum;Westenfeld;Lohacker Str. 7d;2;3-fach Sporthalle;;27,00 x 45,00;;
;;;;Lehrschwimmbecken;;25,00 x 10,00;;
;;;;Halle f. rythm. Sportgymnastik;;27,00 x 15,00;;
Sportzentrum ;Berliner Straﬂe;Berliner Str. 40;2;3-fach Sporthalle;;27,00 x 45,00;;
;;;;Lehrschwimmbecken;;;;
Sportzentrum;st‰dt. Sporthallen Harpener Heide;Harpener Heide 1;3;Turnzentrum;;33,5 x 32,00;;
;;;;Kampfsportfl‰che;;14,00 x 26,00;;
