wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,ohne Sperrvermerk,mit Sperrvermerk,A3,Waehler,DavonMitWahlschein,UngueltigeStimmen,GueltigeStimmen,SPD,CDU,FDP,GR�NE,REP,PDS,B�So,NPD,�DP,WASG
22.05.2005,Landtagswahl NRW,108,5911000,6501,1031,777,254,0,515,1,5,510,269,149,27,37,2,6,3,8,1,8
22.05.2005,Landtagswahl NRW,108,5911000,6502,952,769,183,0,501,2,2,499,251,158,29,46,2,0,2,3,1,7
22.05.2005,Landtagswahl NRW,108,5911000,6503,863,749,114,0,516,0,2,514,303,135,12,30,4,7,3,4,2,14
22.05.2005,Landtagswahl NRW,108,5911000,6504,1073,865,208,0,550,1,2,548,285,168,29,35,1,4,3,7,2,14
22.05.2005,Landtagswahl NRW,108,5911000,6505,1081,885,196,0,612,2,5,607,255,223,41,74,2,1,1,2,2,6
22.05.2005,Landtagswahl NRW,108,5911000,6506,456,361,95,0,264,0,5,259,114,98,8,23,2,2,0,8,1,3
22.05.2005,Landtagswahl NRW,108,5911000,6507,726,567,159,0,395,2,6,389,204,116,14,34,2,4,2,2,0,11
22.05.2005,Landtagswahl NRW,108,5911000,6508,1321,1182,139,0,541,3,11,530,306,107,17,63,2,9,0,9,0,17
22.05.2005,Landtagswahl NRW,108,5911000,6509,627,532,95,0,288,0,0,288,149,74,12,25,0,3,2,1,3,19
22.05.2005,Landtagswahl NRW,108,5911000,6510,805,626,179,0,401,0,5,396,202,121,12,33,2,5,5,7,1,8
22.05.2005,Landtagswahl NRW,108,5911000,6511,883,739,144,0,505,3,4,501,285,122,30,37,1,5,2,10,1,8
22.05.2005,Landtagswahl NRW,108,5911000,9131,0,0,0,0,764,764,4,760,289,304,37,92,1,7,4,1,1,24
22.05.2005,Landtagswahl NRW,108,5911000,9132,0,0,0,0,734,734,7,727,293,264,30,96,2,9,7,3,2,21
22.05.2005,Landtagswahl NRW,108,5911000,9261,0,0,0,0,903,903,10,893,410,350,52,46,6,6,2,1,0,20
22.05.2005,Landtagswahl NRW,108,5911000,9262,0,0,0,0,807,807,9,798,345,323,50,40,6,4,3,2,2,23
22.05.2005,Landtagswahl NRW,108,5911000,9511,0,0,0,0,935,935,7,928,399,391,31,60,2,15,2,10,2,16
22.05.2005,Landtagswahl NRW,108,5911000,9512,0,0,0,0,1025,1025,4,1021,467,357,55,80,2,13,1,9,3,34
22.05.2005,Landtagswahl NRW,108,5911000,9521,0,0,0,0,783,783,7,776,314,325,44,52,2,13,1,7,2,16
22.05.2005,Landtagswahl NRW,108,5911000,9522,0,0,0,0,771,771,8,763,310,290,49,65,4,8,3,2,5,27
22.05.2005,Landtagswahl NRW,108,5911000,9531,0,0,0,0,1009,1009,5,1004,387,372,71,121,3,16,4,3,6,21
22.05.2005,Landtagswahl NRW,108,5911000,9541,0,0,0,0,790,790,5,785,294,367,54,43,3,8,1,5,3,7
22.05.2005,Landtagswahl NRW,108,5911000,9542,0,0,0,0,839,839,4,835,326,369,69,44,3,9,1,3,4,7
22.05.2005,Landtagswahl NRW,108,5911000,9543,0,0,0,0,794,794,14,780,261,363,71,53,0,7,4,1,3,17
22.05.2005,Landtagswahl NRW,108,5911000,9611,0,0,0,0,711,711,8,703,334,249,30,46,2,15,6,8,0,13
22.05.2005,Landtagswahl NRW,108,5911000,9612,0,0,0,0,534,534,5,529,277,165,33,36,2,3,1,5,1,6
22.05.2005,Landtagswahl NRW,108,5911000,9621,0,0,0,0,791,791,4,787,332,344,38,39,3,2,6,4,1,18
22.05.2005,Landtagswahl NRW,108,5911000,9622,0,0,0,0,895,895,8,887,390,339,39,62,1,6,10,4,4,32
22.05.2005,Landtagswahl NRW,108,5911000,9631,0,0,0,0,726,726,7,719,343,264,30,45,5,2,4,3,2,21
22.05.2005,Landtagswahl NRW,108,5911000,9632,0,0,0,0,738,738,10,728,323,299,31,30,5,6,5,2,4,23
22.05.2005,Landtagswahl NRW,108,5911000,9633,0,0,0,0,585,585,7,578,267,220,24,40,2,6,3,3,1,12
22.05.2005,Landtagswahl NRW,108,5911000,9641,0,0,0,0,737,737,8,729,322,296,34,39,2,8,3,6,2,17
22.05.2005,Landtagswahl NRW,108,5911000,9642,0,0,0,0,658,658,7,651,315,215,37,42,7,10,2,3,2,18
22.05.2005,Landtagswahl NRW,108,5911000,9651,0,0,0,0,856,856,5,851,380,313,38,54,9,14,1,15,1,26
22.05.2005,Landtagswahl NRW,108,5911000,9652,0,0,0,0,811,811,4,807,380,289,42,51,5,11,0,8,4,17
