wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,ohne Sperrvermerk,"mit Sperrvermerk ""W""",A3,Waehler,DavonMitWahlschein,UngueltigeStimmen,GueltigeStimmen,SPD,CDU,D3,FDP,GR�NE,REP,Tierschutzpartei,B�So,NPD,WASG,W�stefeld
22.05.2005,Landtagswahl NRW,107,5911000,3110,790,673,117,0,371,0,4,367,201,107,12,19,0,5,3,2,5,10,3
22.05.2005,Landtagswahl NRW,107,5911000,3201,936,788,148,0,460,0,7,453,269,121,12,22,2,4,3,2,4,11,3
22.05.2005,Landtagswahl NRW,107,5911000,3202,910,762,148,0,477,0,4,473,235,157,21,26,4,4,5,1,4,15,1
22.05.2005,Landtagswahl NRW,107,5911000,3203,1065,811,254,0,507,0,4,503,240,166,14,47,5,2,7,1,2,18,1
22.05.2005,Landtagswahl NRW,107,5911000,3204,990,803,187,0,455,3,10,445,242,131,20,25,3,1,4,2,8,6,3
22.05.2005,Landtagswahl NRW,107,5911000,3205,868,771,97,0,396,0,5,391,229,88,14,16,4,7,7,2,11,12,1
22.05.2005,Landtagswahl NRW,107,5911000,3206,738,609,129,0,269,0,2,267,146,80,16,11,3,5,0,2,2,2,0
22.05.2005,Landtagswahl NRW,107,5911000,3207,717,586,131,0,378,1,2,376,187,99,14,35,5,10,5,0,9,12,0
22.05.2005,Landtagswahl NRW,107,5911000,3208,863,742,121,0,404,0,7,397,242,92,8,18,2,3,7,0,11,12,2
22.05.2005,Landtagswahl NRW,107,5911000,3209,492,407,85,0,234,0,2,232,132,57,11,10,3,8,3,0,7,1,0
22.05.2005,Landtagswahl NRW,107,5911000,3210,843,725,118,0,398,0,3,395,252,100,10,7,4,3,5,1,9,3,1
22.05.2005,Landtagswahl NRW,107,5911000,3211,1144,951,193,0,544,0,7,537,278,159,31,33,1,5,7,1,8,10,4
22.05.2005,Landtagswahl NRW,107,5911000,3212,704,561,143,0,329,2,5,324,167,88,14,22,1,8,5,2,4,10,3
22.05.2005,Landtagswahl NRW,107,5911000,3213,838,662,176,0,420,1,5,415,216,135,11,16,4,2,1,1,4,20,5
22.05.2005,Landtagswahl NRW,107,5911000,3301,832,732,100,0,390,2,2,388,194,116,13,37,3,0,8,1,4,12,0
22.05.2005,Landtagswahl NRW,107,5911000,3302,1096,925,171,0,511,0,12,499,262,149,21,28,4,3,10,1,8,12,1
22.05.2005,Landtagswahl NRW,107,5911000,3303,1314,1154,160,0,592,0,14,578,301,166,21,47,5,3,8,2,12,11,2
22.05.2005,Landtagswahl NRW,107,5911000,3304,590,495,95,0,252,1,2,250,107,78,8,32,3,8,3,0,5,6,0
22.05.2005,Landtagswahl NRW,107,5911000,3305,836,691,145,0,389,0,5,384,204,111,14,19,1,6,10,0,8,8,3
22.05.2005,Landtagswahl NRW,107,5911000,3306,739,606,133,0,331,0,6,325,182,90,15,13,6,2,5,0,6,6,0
22.05.2005,Landtagswahl NRW,107,5911000,3307,804,687,117,0,404,0,10,394,203,139,10,16,2,1,3,3,10,5,2
22.05.2005,Landtagswahl NRW,107,5911000,3308,865,755,110,0,370,0,6,364,168,154,7,11,2,5,4,2,6,4,1
22.05.2005,Landtagswahl NRW,107,5911000,3309,687,581,106,0,371,0,8,363,187,115,19,19,2,3,3,1,6,7,1
22.05.2005,Landtagswahl NRW,107,5911000,3310,902,808,94,0,460,0,11,449,236,160,8,11,4,2,4,4,7,12,1
22.05.2005,Landtagswahl NRW,107,5911000,4101,839,717,122,0,400,0,2,398,192,135,17,19,0,3,4,3,13,6,6
22.05.2005,Landtagswahl NRW,107,5911000,4102,1187,1053,134,0,530,0,6,524,279,161,9,21,2,2,8,1,12,17,12
22.05.2005,Landtagswahl NRW,107,5911000,4103,942,780,162,0,443,0,3,440,217,146,20,28,4,3,3,1,2,9,7
22.05.2005,Landtagswahl NRW,107,5911000,4104,804,696,108,0,411,0,3,408,190,148,22,27,1,6,4,1,2,7,0
22.05.2005,Landtagswahl NRW,107,5911000,4105,1043,905,138,0,472,1,6,466,222,172,11,9,2,8,7,2,9,20,4
22.05.2005,Landtagswahl NRW,107,5911000,4106,1115,955,160,0,578,0,12,566,331,131,22,34,1,12,7,0,16,8,4
22.05.2005,Landtagswahl NRW,107,5911000,4107,605,530,75,0,306,0,6,300,162,75,9,22,6,3,3,1,5,11,3
22.05.2005,Landtagswahl NRW,107,5911000,4108,650,594,56,0,260,0,3,257,116,99,10,8,4,4,3,0,6,6,1
22.05.2005,Landtagswahl NRW,107,5911000,4109,721,627,94,0,303,0,5,298,140,86,12,14,11,7,7,1,8,9,3
22.05.2005,Landtagswahl NRW,107,5911000,4201,793,693,100,0,395,0,10,385,229,91,10,19,6,2,6,1,10,10,1
22.05.2005,Landtagswahl NRW,107,5911000,4202,1026,918,108,0,511,2,6,505,258,166,18,15,4,3,7,0,13,18,3
22.05.2005,Landtagswahl NRW,107,5911000,4203,788,714,74,0,320,0,5,315,174,89,11,8,5,5,5,0,10,7,1
22.05.2005,Landtagswahl NRW,107,5911000,4204,1058,908,150,0,503,0,7,496,262,155,23,16,1,6,4,3,9,15,2
22.05.2005,Landtagswahl NRW,107,5911000,4205,893,778,115,0,393,1,4,389,205,99,12,23,6,11,10,4,9,9,1
22.05.2005,Landtagswahl NRW,107,5911000,4206,1003,874,129,0,533,0,16,517,268,162,20,23,2,9,7,1,8,14,3
22.05.2005,Landtagswahl NRW,107,5911000,4207,802,705,97,0,398,0,5,393,215,109,14,22,6,4,9,1,2,9,2
22.05.2005,Landtagswahl NRW,107,5911000,4208,1038,895,143,0,406,0,11,395,198,123,7,29,3,8,5,4,7,10,1
22.05.2005,Landtagswahl NRW,107,5911000,4209,1107,960,147,0,459,0,10,449,218,139,20,29,7,4,5,0,9,15,3
22.05.2005,Landtagswahl NRW,107,5911000,4210,981,893,88,0,438,0,6,432,218,132,19,26,7,6,7,2,9,6,0
22.05.2005,Landtagswahl NRW,107,5911000,4301,1154,989,165,0,528,3,7,521,297,144,8,34,5,4,3,3,5,15,3
22.05.2005,Landtagswahl NRW,107,5911000,4302,549,494,55,0,218,0,3,215,98,54,7,23,2,2,9,0,9,11,0
22.05.2005,Landtagswahl NRW,107,5911000,4303,877,730,147,0,395,1,14,381,188,115,8,30,4,6,4,2,7,14,3
22.05.2005,Landtagswahl NRW,107,5911000,4304,709,630,79,0,370,0,7,363,164,90,13,56,2,12,5,0,6,13,2
22.05.2005,Landtagswahl NRW,107,5911000,4305,848,751,97,0,347,1,5,342,160,100,9,38,2,3,4,2,11,13,0
22.05.2005,Landtagswahl NRW,107,5911000,4306,883,785,98,0,414,1,13,401,206,105,8,33,3,6,4,6,13,15,2
22.05.2005,Landtagswahl NRW,107,5911000,4307,873,739,134,0,370,0,6,364,169,84,17,45,5,8,6,2,7,20,1
22.05.2005,Landtagswahl NRW,107,5911000,4308,690,542,148,0,361,0,4,357,140,154,12,30,2,3,7,0,1,8,0
22.05.2005,Landtagswahl NRW,107,5911000,4401,1135,1002,133,0,568,0,12,556,252,146,26,65,6,16,10,4,3,24,4
22.05.2005,Landtagswahl NRW,107,5911000,4402,889,755,134,0,434,2,10,424,220,101,11,43,4,11,8,1,5,18,2
22.05.2005,Landtagswahl NRW,107,5911000,4403,972,839,133,0,466,2,5,461,224,132,17,41,7,6,12,0,12,10,0
22.05.2005,Landtagswahl NRW,107,5911000,4404,715,616,99,0,287,0,6,281,148,68,5,27,4,7,7,0,6,4,5
