wahltermin_datum,wahl,AGS,Bez-Nr,Wahlberechtigte,ohne Vermerk W,mit Vermerk W,nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeStimmen,GueltigeStimmen,Eiskirch, SPD,Franz, CDU,Engel, GR�NE,Hohmeier, Die Linke.,Gleising, SOZIAL,Cremer, NPD,Liese, AfD,L�cking, Freie B�rger,Zarske, Einzelbewerber,Wendland, Einzelbewerber,Ermann, Einzelbewerber,Pour Yousefi Kermani, Einzelbewerber
13.09.2015,B�rgermeisterwahl NRW,5911000,1407,1413,1208,205,0,572,3,9,563,231,159,71,15,8,5,5,10,3,44,0,12
13.09.2015,B�rgermeisterwahl NRW,5911000,1501,1009,917,92,0,199,0,3,196,65,28,31,9,1,2,7,8,0,37,2,6
13.09.2015,B�rgermeisterwahl NRW,5911000,1502,1124,1004,120,0,249,0,2,247,87,42,16,25,2,4,10,4,2,45,0,10
13.09.2015,B�rgermeisterwahl NRW,5911000,1503,1216,1131,85,0,336,0,5,331,114,72,39,12,1,3,17,12,4,44,2,11
13.09.2015,B�rgermeisterwahl NRW,5911000,1504,942,883,59,0,237,0,1,236,96,39,19,23,3,5,3,3,1,38,1,5
13.09.2015,B�rgermeisterwahl NRW,5911000,1505,850,800,50,0,123,1,0,123,56,14,5,11,1,2,5,2,1,20,2,4
13.09.2015,B�rgermeisterwahl NRW,5911000,1506,830,793,37,0,169,0,4,165,70,24,16,9,1,2,7,2,2,27,1,4
13.09.2015,B�rgermeisterwahl NRW,5911000,1507,1078,971,107,0,199,0,3,196,63,47,15,13,4,6,6,1,1,35,0,5
13.09.2015,B�rgermeisterwahl NRW,5911000,1508,1188,1002,186,0,340,0,3,337,123,115,26,12,0,1,15,7,2,26,0,10
13.09.2015,B�rgermeisterwahl NRW,5911000,1509,1044,950,94,0,232,0,5,227,93,65,8,12,1,1,6,8,1,22,4,6
13.09.2015,B�rgermeisterwahl NRW,5911000,1601,1137,1010,127,0,265,0,2,263,106,71,14,10,1,6,9,13,6,22,0,5
13.09.2015,B�rgermeisterwahl NRW,5911000,1602,1589,1396,193,0,535,0,9,526,245,116,31,21,7,8,19,17,9,41,7,5
13.09.2015,B�rgermeisterwahl NRW,5911000,1603,1197,1051,146,0,266,0,2,264,123,65,22,9,0,1,7,7,4,21,3,2
13.09.2015,B�rgermeisterwahl NRW,5911000,1604,1103,1011,92,0,178,0,2,176,93,38,4,14,1,0,4,1,0,19,1,1
13.09.2015,B�rgermeisterwahl NRW,5911000,1605,1203,1112,91,0,217,0,1,216,83,64,8,15,1,5,9,5,2,20,0,4
13.09.2015,B�rgermeisterwahl NRW,5911000,1606,1349,1235,114,0,309,0,3,306,135,56,30,12,1,4,7,2,1,48,2,8
13.09.2015,B�rgermeisterwahl NRW,5911000,1607,1233,1107,126,0,222,0,2,220,84,48,20,6,1,6,15,8,2,22,1,7
13.09.2015,B�rgermeisterwahl NRW,5911000,1701,1232,1103,129,0,315,0,5,310,122,88,27,12,0,0,7,9,8,22,1,14
13.09.2015,B�rgermeisterwahl NRW,5911000,1702,947,852,95,0,257,0,2,255,88,85,22,11,2,1,16,8,3,16,2,1
13.09.2015,B�rgermeisterwahl NRW,5911000,1703,1369,1197,172,0,410,0,4,406,187,97,21,12,3,6,17,10,21,21,5,6
13.09.2015,B�rgermeisterwahl NRW,5911000,1704,1079,977,102,0,254,0,4,250,79,78,28,19,1,5,2,3,4,28,0,3
13.09.2015,B�rgermeisterwahl NRW,5911000,1705,1112,961,151,0,268,0,5,263,94,57,25,15,4,7,17,10,2,25,2,5
13.09.2015,B�rgermeisterwahl NRW,5911000,1706,926,817,109,0,234,0,1,233,85,70,14,10,1,6,14,9,3,15,0,6
13.09.2015,B�rgermeisterwahl NRW,5911000,1707,973,890,83,0,190,0,4,186,62,52,19,7,2,8,6,7,9,11,2,1
13.09.2015,B�rgermeisterwahl NRW,5911000,1801,1529,1350,179,0,363,0,0,363,163,107,15,7,2,11,14,9,15,17,1,2
13.09.2015,B�rgermeisterwahl NRW,5911000,1802,1413,1294,119,0,293,0,2,291,131,83,14,10,3,3,7,5,3,27,2,3
13.09.2015,B�rgermeisterwahl NRW,5911000,1803,1350,1224,126,0,272,0,1,271,114,63,18,12,6,7,17,4,6,22,0,2
13.09.2015,B�rgermeisterwahl NRW,5911000,1804,1353,1211,142,0,333,0,5,328,149,92,14,9,0,10,18,8,2,21,2,3
13.09.2015,B�rgermeisterwahl NRW,5911000,1805,1210,1072,138,0,192,0,0,192,83,41,11,14,0,1,6,6,4,16,1,9
13.09.2015,B�rgermeisterwahl NRW,5911000,1806,1281,1166,115,0,302,0,8,294,109,68,37,24,0,4,5,6,2,27,0,12
13.09.2015,B�rgermeisterwahl NRW,5911000,2101,912,848,64,0,223,0,2,221,81,59,15,2,1,8,10,4,5,30,2,4
13.09.2015,B�rgermeisterwahl NRW,5911000,2102,1084,995,89,0,256,0,2,254,102,53,19,2,1,7,13,13,8,33,0,3
13.09.2015,B�rgermeisterwahl NRW,5911000,2103,1361,1255,106,0,300,0,2,298,109,80,19,8,2,5,15,6,6,45,2,1
13.09.2015,B�rgermeisterwahl NRW,5911000,2104,1066,1004,62,0,202,0,1,201,70,44,16,6,0,7,11,6,5,29,0,7
13.09.2015,B�rgermeisterwahl NRW,5911000,2105,1514,1382,132,0,354,0,3,351,116,99,31,15,2,10,15,6,3,39,4,11
13.09.2015,B�rgermeisterwahl NRW,5911000,2106,1567,1432,135,0,396,0,7,389,115,112,33,9,0,16,24,7,14,52,0,7
13.09.2015,B�rgermeisterwahl NRW,5911000,2201,999,933,66,0,230,0,4,226,71,73,6,4,5,5,10,5,5,39,0,3
13.09.2015,B�rgermeisterwahl NRW,5911000,2202,1055,936,119,0,266,0,6,260,93,91,20,9,0,5,10,3,5,20,0,4
13.09.2015,B�rgermeisterwahl NRW,5911000,2203,904,839,65,0,192,0,0,192,66,43,6,7,0,7,11,1,4,33,1,13
13.09.2015,B�rgermeisterwahl NRW,5911000,2204,968,903,65,0,150,0,1,149,61,35,15,4,1,4,6,0,3,15,0,5
13.09.2015,B�rgermeisterwahl NRW,5911000,2205,951,865,86,0,206,0,1,205,66,68,20,6,0,6,3,1,10,18,0,7
13.09.2015,B�rgermeisterwahl NRW,5911000,2206,988,884,104,0,280,0,1,279,80,115,12,14,0,4,9,4,9,28,1,3
13.09.2015,B�rgermeisterwahl NRW,5911000,2207,905,814,91,0,169,0,2,167,65,47,11,1,0,1,12,2,7,17,1,3
13.09.2015,B�rgermeisterwahl NRW,5911000,2208,927,843,84,0,220,0,5,215,86,60,9,8,1,6,9,1,12,19,0,4
13.09.2015,B�rgermeisterwahl NRW,5911000,2209,857,759,98,0,214,0,5,209,95,57,12,6,5,3,7,4,5,6,4,5
13.09.2015,B�rgermeisterwahl NRW,5911000,2210,895,791,104,0,185,0,4,181,68,46,16,8,0,7,2,2,4,19,2,7
13.09.2015,B�rgermeisterwahl NRW,5911000,2301,859,765,94,0,151,0,1,150,45,41,14,8,0,3,8,2,0,16,0,13
13.09.2015,B�rgermeisterwahl NRW,5911000,2302,1030,971,59,0,151,0,0,151,66,36,6,9,1,2,12,2,0,13,1,3
13.09.2015,B�rgermeisterwahl NRW,5911000,2303,1145,1036,109,0,282,0,2,280,109,57,21,18,1,12,10,7,8,27,0,10
13.09.2015,B�rgermeisterwahl NRW,5911000,2304,1030,924,106,0,188,0,3,185,74,50,14,3,1,7,8,2,3,18,0,5
13.09.2015,B�rgermeisterwahl NRW,5911000,2305,995,884,111,0,182,0,2,180,64,46,14,6,2,5,6,2,3,24,0,8
13.09.2015,B�rgermeisterwahl NRW,5911000,2306,1028,977,51,0,144,0,1,143,35,44,6,6,2,14,7,2,9,17,0,1
13.09.2015,B�rgermeisterwahl NRW,5911000,2307,781,730,51,0,114,0,1,113,42,24,10,1,0,2,6,1,0,19,0,8
13.09.2015,B�rgermeisterwahl NRW,5911000,2401,1064,998,66,0,170,0,3,167,64,46,11,9,0,3,3,2,1,25,1,2
