wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte insgesamt,ohne Vermerk W,mit Vermerk W,nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU ,CDU,SPD,SPD,FDP,FDP,GR�NE,GR�NE,DIE LINKE,DIE LINKE,Piraten,Piraten,NPD,NPD,REP,REP,B�ndnis 21 / RRP,B�ndnis 21 /RRP,Volksabstimmung,Volksabstimmung,�DP,�DP,MLPD,MLPD,B�So,B�So,PSG,PSG,AfD,AfD,BIG,BIG,pro Deutschland,pro Deutschland,Die Rechte,Die Rechte,FREIE W�HLER,FREIE W�HLER,Partei der Nichtw�hler,Partei der Nichtw�hler,Partei der Vernunft,Partei der Vernunft,Die PARTEI,Die PARTEI
22.09.2013,Bundestagswahl,140,5911000,1302,1128,843,285,0,585,3,13,13,572,572,157,129,237,184,6,24,73,103,60,72,28,27,9,5,,0,,0,,0,,1,2,1,,0,,0,,15,,2,,1,,0,,1,,1,,0,,6
22.09.2013,Bundestagswahl,140,5911000,1303,1197,916,281,0,646,6,12,7,634,639,209,177,269,233,5,20,72,103,49,57,20,8,6,3,,1,,0,,1,,2,4,0,,0,,0,,28,,1,,1,,0,,1,,1,,1,,1
22.09.2013,Bundestagswahl,140,5911000,1304,1187,860,327,0,688,7,7,5,681,683,201,181,298,228,6,16,79,119,63,84,29,28,4,4,,0,,0,,0,,2,1,1,,0,,0,,13,,0,,0,,0,,0,,1,,1,,5
22.09.2013,Bundestagswahl,140,5911000,1305,1094,844,250,0,573,4,2,1,571,572,119,99,263,212,4,14,81,108,69,77,26,13,5,4,,1,,0,,2,,3,4,1,,1,,0,,25,,2,,3,,0,,0,,2,,0,,5
22.09.2013,Bundestagswahl,140,5911000,1306,954,685,269,0,578,7,5,4,573,574,236,178,219,171,9,37,56,103,29,42,17,10,6,5,,0,,0,,2,,3,1,0,,0,,0,,18,,0,,0,,0,,1,,1,,0,,3
22.09.2013,Bundestagswahl,140,5911000,1307,1177,890,287,0,667,1,7,6,660,661,221,179,268,228,13,31,66,97,66,80,13,16,6,4,,0,,0,,0,,1,7,3,,0,,0,,18,,0,,0,,0,,1,,0,,0,,3
22.09.2013,Bundestagswahl,140,5911000,1401,1060,786,274,0,484,2,6,6,478,478,172,138,167,145,8,29,51,54,52,57,18,19,8,4,,0,,0,,1,,2,2,1,,0,,1,,21,,0,,1,,0,,0,,2,,1,,2
22.09.2013,Bundestagswahl,140,5911000,1402,1131,862,269,0,527,2,3,3,524,524,118,102,219,161,10,18,61,94,75,83,35,40,4,4,,1,,0,,0,,1,2,0,,0,,0,,14,,2,,0,,0,,2,,0,,0,,2
22.09.2013,Bundestagswahl,140,5911000,1403,1314,993,321,0,677,0,10,8,667,669,200,175,306,240,4,18,63,100,54,74,25,20,12,3,,1,,0,,0,,1,3,3,,0,,0,,24,,0,,2,,0,,2,,0,,0,,6
22.09.2013,Bundestagswahl,140,5911000,1404,1312,958,354,0,763,6,16,12,747,751,254,209,310,265,3,18,78,121,68,80,26,20,6,4,,0,,0,,1,,8,2,0,,0,,0,,16,,1,,3,,0,,0,,0,,0,,5
22.09.2013,Bundestagswahl,140,5911000,1405,1449,1141,308,0,825,2,8,6,817,819,197,168,363,289,8,17,92,148,107,108,32,35,17,9,,2,,0,,0,,1,1,1,,0,,0,,22,,1,,1,,0,,3,,0,,2,,12
22.09.2013,Bundestagswahl,140,5911000,1406,1271,946,325,0,762,11,15,11,747,751,225,173,324,277,13,32,88,131,57,72,24,21,14,11,,0,,0,,0,,0,2,0,,3,,0,,27,,0,,0,,0,,1,,1,,0,,2
22.09.2013,Bundestagswahl,140,5911000,1407,1454,1085,369,0,767,7,3,3,764,764,303,263,326,282,7,22,63,95,42,51,12,12,11,4,,0,,1,,1,,2,0,0,,0,,0,,22,,1,,3,,0,,1,,1,,0,,3
22.09.2013,Bundestagswahl,140,5911000,1501,839,657,182,0,359,3,8,1,351,358,89,74,165,128,4,5,21,38,41,55,20,23,9,7,,0,,0,,0,,0,2,1,,0,,0,,20,,2,,1,,0,,0,,0,,0,,4
22.09.2013,Bundestagswahl,140,5911000,1502,1011,808,203,0,457,0,7,5,450,452,116,93,206,180,5,10,32,46,60,64,24,21,6,6,,0,,0,,0,,0,1,0,,0,,0,,25,,1,,3,,0,,1,,1,,0,,1
22.09.2013,Bundestagswahl,140,5911000,1503,1116,926,190,0,575,3,13,6,562,569,132,109,277,216,4,11,47,87,61,81,26,23,13,8,,0,,1,,0,,1,2,0,,0,,0,,26,,1,,2,,0,,1,,1,,1,,0
22.09.2013,Bundestagswahl,140,5911000,1504,859,738,121,0,440,1,5,5,435,435,96,77,215,174,2,6,34,59,60,66,17,19,9,4,,1,,0,,1,,0,2,0,,1,,0,,17,,5,,1,,1,,1,,0,,0,,2
22.09.2013,Bundestagswahl,140,5911000,1505,780,682,98,0,328,0,6,6,322,322,52,46,186,150,4,10,18,36,42,46,9,12,10,7,,0,,2,,0,,0,1,1,,0,,1,,6,,1,,1,,0,,1,,1,,0,,1
22.09.2013,Bundestagswahl,140,5911000,1506,761,676,85,0,333,0,9,7,324,326,56,48,171,148,1,3,21,25,56,60,11,15,8,5,,0,,0,,0,,0,0,1,,0,,0,,16,,3,,0,,0,,1,,0,,0,,1
22.09.2013,Bundestagswahl,140,5911000,1507,1029,838,191,0,447,0,7,4,440,443,102,88,209,171,6,10,27,52,55,59,21,19,16,12,,1,,0,,0,,2,4,1,,1,,0,,15,,7,,3,,1,,0,,0,,0,,1
