wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte insgesamt,ohne Vermerk W,mit Vermerk W,nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU ,CDU,SPD,SPD,FDP,FDP,GR�NE,GR�NE,DIE LINKE,DIE LINKE,Piraten,Piraten,NPD,NPD,REP,REP,B�ndnis 21 / RRP,B�ndnis 21 /RRP,Volksabstimmung,Volksabstimmung,�DP,�DP,MLPD,MLPD,B�So,B�So,PSG,PSG,AfD,AfD,BIG,BIG,pro Deutschland,pro Deutschland,Die Rechte,Die Rechte,FREIE W�HLER,FREIE W�HLER,Partei der Nichtw�hler,Partei der Nichtw�hler,Partei der Vernunft,Partei der Vernunft,Die PARTEI,Die PARTEI
22.09.2013,Bundestagswahl,141,5911000,3307,1175,1000,175,0,576,0,11,12,565,564,204,194,269,239,8,8,19,23,42,45,10,10,10,4,,1,,0,,0,,0,3,1,,0,,0,,32,,0,,1,,1,,1,,1,,0,,3
22.09.2013,Bundestagswahl,141,5911000,3308,1046,867,179,0,577,1,24,11,553,566,189,180,271,256,9,13,25,24,37,42,14,15,7,4,,2,,0,,1,,2,1,1,,1,,0,,23,,0,,0,,0,,1,,0,,0,,1
22.09.2013,Bundestagswahl,141,5911000,4101,1221,1015,206,0,607,1,9,8,598,599,186,175,295,261,3,11,22,25,57,67,18,9,16,13,,2,,0,,4,,0,1,0,,0,,0,,22,,2,,3,,1,,1,,1,,0,,2
22.09.2013,Bundestagswahl,141,5911000,4102,1128,917,211,0,612,3,7,5,605,607,198,175,280,249,13,18,25,30,43,54,29,25,13,10,,1,,1,,3,,3,4,6,,0,,0,,28,,0,,1,,0,,1,,0,,1,,1
22.09.2013,Bundestagswahl,141,5911000,4103,1028,877,151,0,558,0,11,5,547,553,189,169,267,245,2,11,30,32,36,54,10,13,11,13,,1,,1,,0,,0,2,0,,0,,0,,12,,0,,0,,1,,0,,0,,0,,1
22.09.2013,Bundestagswahl,141,5911000,4104,1168,929,239,0,643,2,8,6,635,637,197,196,310,250,7,19,56,49,37,52,13,15,13,11,,1,,1,,1,,1,2,2,,0,,0,,27,,0,,4,,0,,2,,2,,0,,4
22.09.2013,Bundestagswahl,141,5911000,4105,942,758,184,0,536,1,9,4,527,532,159,160,260,216,6,6,30,33,32,41,13,7,27,11,,4,,0,,0,,1,0,0,,0,,0,,41,,0,,4,,2,,3,,0,,0,,3
22.09.2013,Bundestagswahl,141,5911000,4106,1001,860,141,0,516,0,14,14,502,502,112,107,256,230,4,8,26,33,62,45,20,20,21,19,,1,,0,,1,,2,1,2,,0,,1,,24,,3,,3,,0,,1,,0,,0,,2
22.09.2013,Bundestagswahl,141,5911000,4107,936,801,135,0,436,0,8,4,428,432,93,78,219,173,6,15,21,37,51,54,18,17,20,13,,2,,0,,1,,0,0,0,,0,,0,,31,,2,,1,,0,,1,,0,,1,,6
22.09.2013,Bundestagswahl,141,5911000,4201,1104,823,281,0,491,5,9,7,482,484,151,141,237,214,7,18,21,24,30,34,18,9,18,11,,0,,0,,1,,1,0,0,,0,,1,,19,,0,,6,,1,,2,,1,,0,,1
22.09.2013,Bundestagswahl,141,5911000,4202,1255,1075,180,0,637,0,16,14,621,623,156,140,313,286,7,14,30,34,64,55,22,15,28,26,,0,,1,,1,,1,1,1,,0,,1,,36,,0,,4,,1,,2,,1,,0,,4
22.09.2013,Bundestagswahl,141,5911000,4203,1193,1008,185,0,581,0,11,6,570,575,173,159,290,255,5,10,29,36,45,54,12,8,16,15,,4,,0,,2,,1,0,1,,0,,0,,22,,0,,2,,0,,1,,0,,1,,4
22.09.2013,Bundestagswahl,141,5911000,4204,936,796,140,0,427,0,9,8,418,419,110,98,215,184,1,4,21,24,42,41,17,15,8,9,,2,,0,,0,,0,4,1,,0,,1,,26,,2,,5,,0,,4,,1,,1,,1
22.09.2013,Bundestagswahl,141,5911000,4205,1131,915,216,0,566,1,12,12,554,554,161,151,258,230,16,15,27,31,43,46,25,20,20,13,,1,,0,,0,,1,4,2,,0,,0,,30,,0,,5,,4,,1,,0,,0,,4
22.09.2013,Bundestagswahl,141,5911000,4206,1046,878,168,0,495,2,20,12,475,483,147,138,239,208,8,12,25,38,26,35,9,7,19,11,,1,,0,,2,,0,2,1,,0,,0,,23,,2,,3,,0,,0,,0,,0,,2
22.09.2013,Bundestagswahl,141,5911000,4207,1079,858,221,0,548,1,4,2,544,546,161,143,255,226,9,13,30,37,35,51,28,24,20,11,,0,,2,,1,,1,6,5,,0,,1,,23,,1,,3,,0,,0,,1,,0,,3
22.09.2013,Bundestagswahl,141,5911000,4208,1024,903,121,0,502,1,15,11,487,491,132,118,246,207,3,12,22,35,42,51,23,17,14,17,,1,,1,,1,,0,5,3,,0,,2,,22,,0,,0,,0,,0,,0,,1,,3
22.09.2013,Bundestagswahl,141,5911000,4301,1059,864,195,0,512,4,8,7,504,505,116,106,277,241,1,10,43,57,46,41,9,15,10,6,,0,,1,,0,,2,2,2,,0,,0,,18,,0,,0,,0,,0,,0,,0,,6
22.09.2013,Bundestagswahl,141,5911000,4302,1271,1051,220,0,641,2,14,13,627,628,150,139,300,274,6,14,58,70,71,72,31,20,10,5,,0,,1,,0,,1,1,0,,0,,0,,22,,0,,4,,0,,1,,1,,0,,4
22.09.2013,Bundestagswahl,141,5911000,4303,1136,951,185,0,647,1,16,12,631,635,150,132,325,282,8,20,38,40,77,80,18,19,15,11,,1,,3,,0,,7,0,0,,0,,0,,30,,3,,1,,1,,2,,1,,1,,1
22.09.2013,Bundestagswahl,141,5911000,4304,1223,1057,166,0,628,2,15,12,613,616,110,100,284,251,2,11,47,56,89,103,43,33,28,17,,2,,0,,1,,2,10,7,,0,,0,,19,,0,,5,,0,,2,,0,,0,,7
22.09.2013,Bundestagswahl,141,5911000,4305,1312,1029,283,0,628,0,10,8,618,620,164,152,314,283,13,20,28,30,64,65,24,26,7,10,,0,,0,,1,,0,4,1,,0,,0,,21,,2,,4,,0,,1,,2,,0,,2
