datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,pressure_relative,pressure_absolute,indoor_dew_point,indoor_feels_like,indoor_app_tempin
2025-09-01 08:15:00+02:00,,,,,,18.0,95.0,998.8,998.8,,,
2025-09-01 08:20:00+02:00,,,,,,17.9,95.0,998.9,998.9,,,
2025-09-01 08:25:00+02:00,,,,,,17.9,95.0,999.0,999.0,,,
2025-09-01 08:30:00+02:00,,,,,,17.9,95.0,999.0,999.0,,,
2025-09-01 08:35:00+02:00,,,,,,17.9,95.0,999.1,999.1,,,
2025-09-01 08:40:00+02:00,,,,,,17.9,95.0,999.1,999.1,,,
2025-09-01 08:45:00+02:00,,,,,,17.9,95.0,999.1,999.1,,,
2025-09-01 08:50:00+02:00,,,,,,17.9,95.0,999.0,999.0,,,
2025-09-01 08:55:00+02:00,,,,,,17.9,95.0,999.1,999.1,,,
2025-09-01 09:00:00+02:00,,,,,,17.9,95.0,999.0,999.0,,,
2025-09-01 09:05:00+02:00,,,,,,17.9,95.0,999.1,999.1,,,
2025-09-01 09:10:00+02:00,,,,,,17.9,95.0,999.2,999.2,,,
2025-09-01 09:15:00+02:00,,,,,,17.9,95.0,999.2,999.2,,,
2025-09-01 09:20:00+02:00,,,,,,17.9,95.0,999.3,999.3,,,
2025-09-01 09:25:00+02:00,,,,,,18.0,95.0,999.1,999.1,,,
2025-09-01 09:30:00+02:00,,,,,,18.0,95.0,999.2,999.2,,,
2025-09-01 09:35:00+02:00,,,,,,18.0,95.0,999.3,999.3,,,
2025-09-01 09:40:00+02:00,,,,,,18.0,95.0,999.4,999.4,,,
2025-09-01 09:45:00+02:00,,,,,,18.1,95.0,999.4,999.4,,,
2025-09-01 09:50:00+02:00,,,,,,18.1,95.0,999.4,999.4,,,
2025-09-01 09:55:00+02:00,,,,,,18.1,96.0,999.4,999.4,,,
2025-09-01 10:00:00+02:00,,,,,,18.1,96.0,999.3,999.3,,,
2025-09-01 10:05:00+02:00,,,,,,18.1,96.0,999.3,999.3,,,
2025-09-01 10:10:00+02:00,,,,,,18.2,96.0,999.3,999.3,,,
2025-09-01 10:15:00+02:00,,,,,,18.2,96.0,999.3,999.3,,,
2025-09-01 10:20:00+02:00,,,,,,18.3,96.0,999.6,999.6,,,
2025-09-01 10:25:00+02:00,,,,,,18.3,96.0,999.6,999.6,,,
2025-09-01 10:30:00+02:00,,,,,,18.4,96.0,999.7,999.7,,,
2025-09-01 10:35:00+02:00,,,,,,18.4,96.0,999.6,999.6,,,
2025-09-01 10:40:00+02:00,,,,,,18.5,96.0,999.6,999.6,,,
2025-09-01 10:45:00+02:00,,,,,,18.5,96.0,999.8,999.8,,,
2025-09-01 10:50:00+02:00,,,,,,18.6,96.0,999.9,999.9,,,
2025-09-01 10:55:00+02:00,,,,,,18.6,96.0,1000.0,1000.0,,,
2025-09-01 11:00:00+02:00,,,,,,18.7,96.0,1000.1,1000.1,,,
2025-09-01 11:05:00+02:00,,,,,,18.7,96.0,1000.1,1000.1,,,
2025-09-01 11:10:00+02:00,,,,,,18.8,96.0,1000.1,1000.1,,,
2025-09-01 11:15:00+02:00,,,,,,18.9,96.0,1000.2,1000.2,,,
2025-09-01 11:20:00+02:00,,,,,,19.0,96.0,1000.3,1000.3,,,
2025-09-01 11:25:00+02:00,,,,,,19.1,96.0,1000.3,1000.3,,,
2025-09-01 11:30:00+02:00,,,,,,19.1,96.0,1000.1,1000.1,,,
2025-09-01 11:35:00+02:00,,,,,,19.2,96.0,1000.0,1000.0,,,
2025-09-01 11:40:00+02:00,,,,,,19.2,97.0,1000.2,1000.2,,,
2025-09-01 11:45:00+02:00,,,,,,19.3,97.0,1000.4,1000.4,,,
2025-09-01 11:50:00+02:00,,,,,,19.3,97.0,1000.3,1000.3,,,
2025-09-01 11:55:00+02:00,,,,,,19.4,97.0,1000.5,1000.5,,,
2025-09-01 12:00:00+02:00,,,,,,19.4,97.0,1000.2,1000.2,,,
2025-09-01 12:05:00+02:00,,,,,,19.4,97.0,1000.0,1000.0,,,
2025-09-01 12:10:00+02:00,,,,,,19.5,97.0,999.9,999.9,,,
