datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute
2025-01-24 00:00:00+01:00,,,,,,4.5,85.0,,,,,,992.1,992.1
2025-01-24 00:05:00+01:00,,,,,,4.5,86.0,,,,,,992.1,992.1
2025-01-24 00:10:00+01:00,,,,,,4.5,86.0,,,,,,992.2,992.2
2025-01-24 00:15:00+01:00,,,,,,4.5,86.0,,,,,,992.1,992.1
2025-01-24 00:20:00+01:00,,,,,,4.5,86.0,,,,,,992.2,992.2
2025-01-24 00:25:00+01:00,,,,,,4.6,86.0,,,,,,992.2,992.2
2025-01-24 00:30:00+01:00,,,,,,4.6,86.0,,,,,,992.1,992.1
2025-01-24 00:35:00+01:00,,,,,,4.6,86.0,,,,,,992.2,992.2
2025-01-24 00:40:00+01:00,,,,,,4.6,86.0,,,,,,992.4,992.4
2025-01-24 00:45:00+01:00,,,,,,4.6,86.0,,,,,,992.4,992.4
2025-01-24 00:50:00+01:00,,,,,,4.6,86.0,,,,,,992.5,992.5
2025-01-24 00:55:00+01:00,,,,,,4.6,86.0,,,,,,992.5,992.5
2025-01-24 01:00:00+01:00,,,,,,4.7,86.0,,,,,,992.6,992.6
2025-01-24 01:05:00+01:00,,,,,,4.7,86.0,,,,,,992.6,992.6
2025-01-24 01:10:00+01:00,,,,,,4.7,86.0,,,,,,992.6,992.6
2025-01-24 01:15:00+01:00,,,,,,4.7,86.0,,,,,,992.6,992.6
2025-01-24 01:20:00+01:00,,,,,,4.7,86.0,,,,,,992.6,992.6
2025-01-24 01:25:00+01:00,,,,,,4.7,86.0,,,,,,992.6,992.6
2025-01-24 01:30:00+01:00,,,,,,4.7,86.0,,,,,,992.5,992.5
2025-01-24 01:35:00+01:00,,,,,,4.8,86.0,,,,,,992.7,992.7
2025-01-24 01:40:00+01:00,,,,,,4.8,86.0,,,,,,992.6,992.6
2025-01-24 01:45:00+01:00,,,,,,4.8,86.0,,,,,,992.6,992.6
