"poi_id";"name";"str_hausnr";"plz_ort";"kategorie";"hauptkateg";"beschreib";"link";"bedeut_id";"bedeutung";"erstkateg";"angelegt";"geaendert";"kateg_id";"kateg_pfad";"rechts_utm";"hoch_utm";"abrufdatum"
"163";"Walter-Gropius-Berufskolleg - Nebenstelle Weitmar";"Karl-Friedrich-Str. 66 a";"44795 Bochum";"Berufskollegs";"Bildung";"Ausbildungsschwerpunkte: Berufsschule: Medientechnik, Fachoberschule Gestaltung, Gestaltungstechnische Assistenten/-innen FHR, Gestaltungstechnische Assistenten/-innen AHR";"www.wg-bo.de";"3";"Örtlich";"1";"2011-05-19";"2023-08-22";"151";"Bildung/Berufsschulen/Berufskollegs";"375472";"5700640";"2023-10-17"
"163";"Walter-Gropius-Berufskolleg - Nebenstelle Weitmar";"Karl-Friedrich-Str. 66 a";"44795 Bochum";"Berufsbildende Schulen";"Bildung";"Ausbildungsschwerpunkte: Berufsschule: Medientechnik, Fachoberschule Gestaltung, Gestaltungstechnische Assistenten/-innen FHR, Gestaltungstechnische Assistenten/-innen AHR";"www.wg-bo.de";"3";"Örtlich";"0";"2011-05-19";"2023-08-22";"31";"Bildung/Berufsschulen/Berufsbildende Schulen";"375472";"5700640";"2023-10-17"
"162";"Walter-Gropius-Berufskolleg, Hauptgebäude";"Ostring 27";"44787 Bochum";"Berufskollegs";"Bildung";"Technische Schule der Stadt Bochum, Berufs-, Berufsfach-, Fach- und Fachoberschule, Berufliches Gymnasium";"www.wg-bo.de";"3";"Örtlich";"1";"2011-06-01";"2023-08-22";"151";"Bildung/Berufsschulen/Berufskollegs";"376727";"5704735";"2023-10-17"
"162";"Walter-Gropius-Berufskolleg, Hauptgebäude";"Ostring 27";"44787 Bochum";"Berufsbildende Schulen";"Bildung";"Technische Schule der Stadt Bochum, Berufs-, Berufsfach-, Fach- und Fachoberschule, Berufliches Gymnasium";"www.wg-bo.de";"3";"Örtlich";"0";"2011-06-01";"2023-08-22";"31";"Bildung/Berufsschulen/Berufsbildende Schulen";"376727";"5704735";"2023-10-17"
"161";"Berufskolleg der Stadt Bochum Technische Beruflichle Schule 1";"Ostring 25";"44787 Bochum";"Berufskollegs";"Bildung";"Technische Berufs-, Berufsfach-, Höhere Berufsfach-, Fach- und Fachoberschule";"www.tbs1.de";"3";"Örtlich";"1";"2011-06-14";"2023-08-22";"151";"Bildung/Berufsschulen/Berufskollegs";"376758";"5704803";"2023-10-17"
"161";"Berufskolleg der Stadt Bochum Technische Beruflichle Schule 1";"Ostring 25";"44787 Bochum";"Berufsbildende Schulen";"Bildung";"Technische Berufs-, Berufsfach-, Höhere Berufsfach-, Fach- und Fachoberschule";"www.tbs1.de";"3";"Örtlich";"0";"2011-06-14";"2023-08-22";"31";"Bildung/Berufsschulen/Berufsbildende Schulen";"376758";"5704803";"2023-10-17"
"160";"Klaus-Steilmann-Berufskolleg";"Westenfelder Str. 88";"44867 Bochum";"Berufskollegs";"Bildung";"Kaufmännische Schule der Stadt Bochum, Berufs-, Berufsfach- und Fachoberschule für Wirtschaft und Verwaltung";"www.klaus-steilmann-berufskolleg.de";"3";"Örtlich";"1";"2011-06-16";"2023-08-22";"151";"Bildung/Berufsschulen/Berufskollegs";"371161";"5704397";"2023-10-17"
"160";"Klaus-Steilmann-Berufskolleg";"Westenfelder Str. 88";"44867 Bochum";"Berufsbildende Schulen";"Bildung";"Kaufmännische Schule der Stadt Bochum, Berufs-, Berufsfach- und Fachoberschule für Wirtschaft und Verwaltung";"www.klaus-steilmann-berufskolleg.de";"3";"Örtlich";"0";"2011-06-16";"2023-08-22";"31";"Bildung/Berufsschulen/Berufsbildende Schulen";"371161";"5704397";"2023-10-17"
"158";"Alice-Salomon-Berufskolleg für Ernährung, Erziehung und Gesundheit";"Akademiestr. 46 / 48";"44789 Bochum";"Berufskollegs";"Bildung";"Schule für Ernährung, Erziehung und Gesundheit, Berufliche Schulen und Berufliches Gymnasium";"www.alice-salomon-berufskolleg.de";"3";"Örtlich";"1";"2011-06-09";"2023-08-22";"151";"Bildung/Berufsschulen/Berufskollegs";"377365";"5704579";"2023-10-17"
"158";"Alice-Salomon-Berufskolleg für Ernährung, Erziehung und Gesundheit";"Akademiestr. 46 / 48";"44789 Bochum";"Berufsbildende Schulen";"Bildung";"Schule für Ernährung, Erziehung und Gesundheit, Berufliche Schulen und Berufliches Gymnasium";"www.alice-salomon-berufskolleg.de";"3";"Örtlich";"0";"2011-06-09";"2023-08-22";"31";"Bildung/Berufsschulen/Berufsbildende Schulen";"377365";"5704579";"2023-10-17"
"157";"Berufsfachschule für medizinisch-technische Assistenten";"In der Schornau 23";"44892 Bochum";"Schulen im Gesundheitsbereich";"Bildung";"am Universitätsklinik Knappschaftskrankenhaus Bochum GmbH";"www.kk-bochum.de";"3";"Örtlich";"1";"2009-06-23";"2023-09-12";"54";"Bildung/Berufsschulen/Schulen im Gesundheitsbereich";"383901";"5702702";"2023-10-17"
"155";"Astrid-Lindgren-Schule";"Lindener Str. 28";"44879 Bochum";"Grundschulen";"Bildung";"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule";"www.astrid-lindgren-schule-bochum.de";"3";"Örtlich";"1";"2009-06-23";"2023-08-18";"8";"Bildung/Allgemeinbildende Schulen/Grundschulen";"373080";"5699504";"2023-10-17"
"153";"Annette-von-Droste-Hülshoff-Schule";"Lohring 22";"44789 Bochum";"Realschulen";"Bildung";"Städtische Realschule, pädagogische Übermittagsbetreuung";"www.annetteschule-bochum.de";"3";"Örtlich";"1";"2009-06-23";"2023-08-18";"10";"Bildung/Allgemeinbildende Schulen/Realschulen";"377482";"5704541";"2023-10-17"
"152";"Anne-Frank-Schule";"Heinrichstr. 2";"44805 Bochum";"Realschulen";"Bildung";"Städtische Realschule im Schulzentrum Gerthe";"www.anne-frank-rs-bochum.de";"3";"Örtlich";"1";"2009-06-23";"2023-08-18";"10";"Bildung/Allgemeinbildende Schulen/Realschulen";"380208";"5708601";"2023-10-17"
"151";"Amtmann-Kreyenfeld-Schule";"Kreyenfeldstr. 80";"44894 Bochum";"Grundschulen";"Bildung";"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule";"www.amtmann-kreyenfeld-schule.de";"3";"Örtlich";"1";"2009-06-23";"2023-08-18";"8";"Bildung/Allgemeinbildende Schulen/Grundschulen";"382702";"5705724";"2023-10-17"
