,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2023-09-01 00:00:00,12.7,12.7,12.0,10.9,89.0,15.3,95.0,0.0,0.0,0.0,0.2,12.9,0.0,18.9,0.2,41.9,4.9,6.5,15.0,1003.8,1003.8,3.2,4.6
2023-09-01 00:04:16,12.7,12.7,12.1,10.8,88.0,15.3,95.0,0.0,0.0,0.0,0.2,12.9,0.0,18.9,0.2,41.9,4.3,6.5,20.0,1003.7,1003.7,3.2,4.6
2023-09-01 00:10:40,12.6,12.6,12.1,10.7,89.0,15.3,95.0,0.0,0.0,0.0,0.2,12.9,0.0,18.9,0.2,41.9,3.8,5.8,8.0,1003.7,1003.7,3.2,4.6
2023-09-01 00:14:56,12.6,12.6,11.9,10.7,88.0,15.2,95.0,0.0,0.0,0.0,0.2,12.9,0.0,18.9,0.2,41.9,4.5,5.8,21.0,1003.6,1003.6,3.2,4.6
2023-09-01 00:19:12,12.6,12.6,12.0,10.6,88.0,15.2,95.0,0.0,0.0,0.0,0.2,12.9,0.0,18.9,0.2,41.9,4.4,6.1,15.0,1003.7,1003.7,3.2,4.5
2023-09-01 00:25:36,12.5,12.5,11.9,10.7,89.0,15.2,95.0,0.0,0.0,0.0,0.2,12.9,0.0,18.9,0.2,41.9,4.3,6.1,19.0,1003.7,1003.7,3.2,4.5
2023-09-01 00:29:52,12.4,12.4,11.9,10.7,90.0,15.1,95.0,0.0,0.0,0.0,0.2,12.9,0.0,18.9,0.2,41.9,3.9,5.4,19.0,1003.8,1003.8,3.2,4.5
2023-09-01 00:34:08,12.3,12.3,11.6,10.7,90.0,15.1,95.0,0.0,0.0,0.0,0.2,12.9,0.0,18.9,0.2,41.9,4.8,6.8,358.0,1003.7,1003.7,3.2,4.5
2023-09-01 00:40:32,12.2,12.2,11.5,10.6,90.0,15.0,95.0,0.0,0.0,0.0,0.2,12.9,0.0,18.9,0.2,41.9,4.9,7.2,23.0,1003.7,1003.7,3.2,4.5
2023-09-01 00:44:48,12.2,12.2,11.5,10.6,90.0,15.0,95.0,0.0,0.0,0.0,0.2,12.9,0.0,18.9,0.2,41.9,4.8,8.6,21.0,1003.6,1003.6,3.2,4.5
2023-09-01 00:49:04,12.3,12.3,11.3,10.5,89.0,14.9,95.0,0.0,0.0,0.0,0.2,12.9,0.0,18.9,0.2,41.9,5.7,8.3,24.0,1003.7,1003.7,3.2,4.5
2023-09-01 00:55:28,12.2,12.2,11.4,10.5,89.0,14.9,95.0,0.0,0.0,0.0,0.2,12.9,0.0,18.9,0.2,41.9,5.0,8.3,22.0,1003.5,1003.5,3.2,4.5
2023-09-01 00:59:44,12.1,12.1,11.4,10.5,90.0,14.8,95.0,0.0,0.0,0.0,0.2,12.9,0.0,18.9,0.2,41.9,4.8,9.4,32.0,1003.5,1003.5,3.2,4.5
2023-09-01 01:04:00,12.2,12.2,11.5,10.4,89.0,14.8,95.0,0.0,0.0,0.0,0.2,12.9,0.0,18.9,0.2,41.9,4.0,10.8,29.0,1003.5,1003.5,3.2,4.5
2023-09-01 01:10:24,12.2,12.2,11.1,10.4,89.0,14.8,95.0,0.0,0.0,0.0,0.2,12.9,0.0,18.9,0.2,41.9,6.3,10.4,22.0,1003.5,1003.5,3.2,4.4
2023-09-01 01:14:40,12.3,12.3,11.6,10.4,89.0,14.7,95.0,0.0,0.0,0.0,0.2,12.9,0.0,18.9,0.2,41.9,4.5,10.1,19.0,1003.3,1003.3,3.2,4.4
