,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2023-10-01 00:00:00,12.1,12.1,12.0,10.1,88.0,16.5,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,0.4,2.9,231.0,1016.1,1016.1,3.2,4.9
2023-10-01 00:04:16,11.9,11.9,12.0,10.0,88.0,16.5,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,0.0,0.0,200.0,1016.0,1016.0,3.2,4.9
2023-10-01 00:10:40,11.9,11.9,12.0,10.0,88.0,16.4,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,0.0,2.9,253.0,1016.0,1016.0,3.2,4.9
2023-10-01 00:14:56,11.9,11.9,12.0,10.0,88.0,16.4,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,0.0,2.2,251.0,1016.0,1016.0,3.2,4.9
2023-10-01 00:19:12,12.4,12.4,12.0,10.1,86.0,16.4,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,2.0,4.3,37.0,1015.9,1015.9,3.2,4.9
2023-10-01 00:25:36,12.6,12.6,12.1,10.1,85.0,16.3,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,3.2,5.4,34.0,1015.9,1015.9,3.2,4.8
2023-10-01 00:29:52,12.7,12.7,12.4,10.1,84.0,16.3,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,2.1,4.3,47.0,1016.0,1016.0,3.2,4.8
2023-10-01 00:34:08,12.7,12.7,12.1,10.2,85.0,16.2,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,3.4,6.8,42.0,1015.9,1015.9,3.2,4.8
2023-10-01 00:40:32,12.7,12.7,12.3,10.2,85.0,16.2,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,2.1,5.8,65.0,1015.9,1015.9,3.2,4.8
2023-10-01 00:44:48,12.8,12.8,11.8,10.1,84.0,16.2,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,5.4,9.0,36.0,1015.9,1015.9,3.2,4.8
2023-10-01 00:49:04,13.0,13.0,12.4,10.2,83.0,16.1,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,3.5,9.0,61.0,1015.8,1015.8,3.2,4.8
2023-10-01 00:55:28,13.1,13.1,12.4,10.2,83.0,16.1,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,3.8,9.0,47.0,1015.8,1015.8,3.2,4.8
2023-10-01 00:59:44,13.1,13.1,12.5,10.2,83.0,16.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,3.8,9.0,39.0,1015.8,1015.8,3.2,4.8
2023-10-01 01:04:00,13.0,13.0,12.1,10.2,83.0,16.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,5.3,9.4,48.0,1015.8,1015.8,3.2,4.8
2023-10-01 01:10:24,13.0,13.0,12.1,10.2,83.0,15.9,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,5.4,7.9,49.0,1015.8,1015.8,3.2,4.8
2023-10-01 01:14:40,13.0,13.0,12.3,10.2,83.0,15.9,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,4.2,8.6,55.0,1015.8,1015.8,3.2,4.8
2023-10-01 01:18:56,13.0,13.0,12.0,10.2,83.0,15.8,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,6.0,11.5,38.0,1015.8,1015.8,3.2,4.8
2023-10-01 01:25:20,13.0,13.0,12.0,10.2,83.0,15.8,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,5.6,11.2,53.0,1015.8,1015.8,3.2,4.8
2023-10-01 01:29:36,13.0,13.0,11.7,10.2,83.0,15.8,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,7.3,11.5,50.0,1015.7,1015.7,3.2,4.8
