wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte ,ohne Sperrvermerk,mit Sperrvermerk,nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,Bollmann, Gerd,SPD,Fischbach, Ingrid,CDU,F��mann, Klaus Wilhelm,FDP,H�hfeld, J�rg,GR�NE,,DIE LINKE,Schumacher, Markus,NPD,D7,Tierschutzpartei,D8,FAMILIE,Blech, Bernd,REP,D10,Volksabstimmung,Weispfenning, Peter Georg,MLPD,D12,PSG,D13,ZENTRUM,,B�So,D15,DVU,D16,�DP,D17,PIRATEN,D18,B�ndnis 21/RRP,D19,RENTNER
27.09.2009,Bundestagswahl,142,5911000,3213,827,648,179,0,455,0,10,5,445,450,221,183,139,124,29,40,40,38,,47,8,6,,2,,1,4,1,,0,4,2,,1,,0,,0,,0,,0,,5,,0,,0
27.09.2009,Bundestagswahl,142,5911000,3301,874,740,134,0,478,0,11,8,467,470,238,175,109,97,42,43,58,55,,71,5,3,,1,,5,8,2,,1,7,0,,0,,0,,0,,2,,0,,11,,1,,3
27.09.2009,Bundestagswahl,142,5911000,3302,1111,946,165,0,575,2,12,10,563,565,318,249,115,83,43,63,61,50,,78,16,8,,6,,5,4,3,,0,6,0,,1,,0,,0,,2,,1,,12,,1,,3
27.09.2009,Bundestagswahl,142,5911000,3303,1338,1107,231,0,660,0,5,8,655,652,325,261,163,133,51,59,87,65,,89,17,10,,6,,3,5,1,,0,7,0,,0,,1,,0,,3,,0,,15,,1,,5
27.09.2009,Bundestagswahl,142,5911000,3304,602,509,93,0,302,1,3,3,299,299,144,100,73,64,29,29,38,44,,39,10,5,,3,,2,1,0,,0,4,0,,1,,0,,0,,1,,0,,10,,0,,1
27.09.2009,Bundestagswahl,142,5911000,3305,815,670,145,0,421,0,18,18,403,403,208,157,107,90,30,38,43,45,,58,4,3,,3,,1,7,2,,0,4,1,,0,,0,,0,,0,,0,,5,,0,,0
27.09.2009,Bundestagswahl,142,5911000,3306,875,710,165,0,488,1,10,9,478,479,260,222,125,118,37,38,37,30,,47,13,7,,2,,1,3,2,,0,3,2,,0,,0,,0,,0,,0,,7,,1,,2
27.09.2009,Bundestagswahl,142,5911000,3307,783,663,120,0,447,0,11,5,436,442,217,180,125,107,29,43,46,40,,45,13,8,,3,,0,3,3,,0,3,0,,0,,1,,0,,0,,0,,8,,0,,4
27.09.2009,Bundestagswahl,142,5911000,3308,920,791,129,0,424,0,23,14,401,410,190,144,147,128,20,23,23,21,,69,9,6,,3,,0,8,4,,0,4,0,,1,,0,,0,,0,,0,,8,,1,,2
27.09.2009,Bundestagswahl,142,5911000,3309,669,542,127,0,374,0,5,5,369,369,160,123,129,103,28,45,43,31,,44,3,1,,5,,2,2,2,,0,4,0,,3,,0,,0,,1,,0,,7,,0,,2
27.09.2009,Bundestagswahl,142,5911000,3310,857,732,125,0,463,1,18,13,445,450,244,191,117,108,31,29,30,25,,64,12,7,,10,,4,6,0,,0,5,1,,1,,0,,0,,0,,0,,7,,1,,2
27.09.2009,Bundestagswahl,142,5911000,4101,819,659,160,0,427,3,7,4,420,423,210,171,124,86,30,56,46,44,,43,6,4,,0,,2,3,0,,1,1,0,,0,,0,,0,,1,,0,,12,,1,,2
27.09.2009,Bundestagswahl,142,5911000,4102,1104,948,156,0,625,0,24,17,601,608,314,238,177,153,35,52,54,45,,105,11,5,,0,,0,4,1,,0,6,0,,0,,0,,0,,0,,0,,7,,1,,1
27.09.2009,Bundestagswahl,142,5911000,4103,916,721,195,0,511,2,19,7,492,504,242,195,146,121,33,57,49,45,,59,10,10,,4,,4,4,1,,0,8,0,,0,,0,,1,,1,,0,,5,,1,,0
27.09.2009,Bundestagswahl,142,5911000,4104,820,680,140,0,440,1,6,5,434,435,208,159,137,108,28,43,42,43,,54,7,3,,2,,3,6,1,,2,6,2,,0,,2,,0,,1,,1,,8,,0,,3
27.09.2009,Bundestagswahl,142,5911000,4105,1032,875,157,0,520,2,25,19,495,501,242,184,149,130,35,30,46,52,,78,10,5,,4,,4,5,0,,0,8,0,,0,,0,,0,,4,,0,,9,,0,,1
27.09.2009,Bundestagswahl,142,5911000,4106,1067,874,193,0,595,3,13,10,582,585,336,258,108,91,43,52,71,74,,70,12,11,,2,,3,6,5,,0,6,0,,0,,0,,0,,1,,1,,16,,0,,1
27.09.2009,Bundestagswahl,142,5911000,4107,589,525,64,0,344,0,3,3,341,341,197,150,74,54,22,39,31,30,,42,8,5,,4,,3,6,1,,1,3,0,,1,,0,,0,,1,,0,,6,,3,,1
27.09.2009,Bundestagswahl,142,5911000,4108,655,582,73,0,314,0,8,4,306,310,135,111,83,70,36,29,32,20,,60,11,6,,7,,2,2,0,,0,7,0,,0,,0,,0,,0,,1,,2,,0,,2
27.09.2009,Bundestagswahl,142,5911000,4109,678,577,101,0,310,0,9,3,301,307,157,109,61,57,24,22,37,29,,61,12,10,,2,,0,6,3,,3,4,0,,0,,1,,0,,2,,0,,6,,1,,1
27.09.2009,Bundestagswahl,142,5911000,4201,753,609,144,0,418,0,6,6,412,412,225,172,90,85,42,36,33,33,,62,13,5,,6,,0,5,4,,0,4,0,,0,,0,,0,,2,,0,,4,,1,,2
27.09.2009,Bundestagswahl,142,5911000,4202,930,815,115,0,490,0,15,8,475,482,237,195,128,109,38,48,43,39,,58,21,11,,4,,3,6,2,,0,2,1,,0,,0,,0,,3,,1,,4,,3,,1
27.09.2009,Bundestagswahl,142,5911000,4203,745,658,87,0,357,0,20,14,337,343,186,131,71,63,26,23,25,29,,65,15,10,,3,,3,9,3,,0,5,1,,0,,0,,2,,3,,0,,6,,0,,1
27.09.2009,Bundestagswahl,142,5911000,4204,1031,844,187,0,533,3,9,9,524,524,264,220,152,125,32,42,42,26,,73,21,11,,3,,6,8,2,,0,5,0,,0,,0,,0,,1,,0,,12,,0,,3
27.09.2009,Bundestagswahl,142,5911000,4205,871,745,126,0,427,0,8,9,419,418,219,169,99,84,32,37,42,43,,46,15,6,,5,,3,3,4,,0,9,2,,0,,0,,0,,2,,0,,12,,0,,5
