wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberchtigte,ohne Sperrvermerk,mit Sperrvermerk,nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,SPD,SPD,CDU,CDU,GR�NE,GR�NE,FDP,FDP,PIRATEN,PIRATEN,DIE LINKE,DIE LINKE,D7,NPD,D8,Die PARTEI,D9,FREIE W�HLER,D10,BIG,D11,FBI/FWG,D12,�DP,D13,Volksabstimmung,D14,TIERSCHUTZliste,D15,AD-Demokraten NRW,AfD,AfD,D17,Aufbruch C,D18,BGE,D19,DBD,D20,DKP,D21,ZENTRUM,D22,Die Rechte,D23,REP,D24,DIE VIOLETTEN,D25,JED,MLPD,MLPD,D27,PAN,D28,Gesundheitsforschung,D29,"PARTEILOSE WG ""BRD""",D30,Sch�ner Leben,D31,V-Partei�
14.05.2017,Landtagswahl NRW,109,5911000,1602,1515,1277,238,0,878,5,17,13,861,865,406,375,198,164,39,44,65,88,24,14,44,40,,6,,0,,5,,1,,1,,0,,0,,9,,0,83,102,,1,,0,,1,,1,,0,,0,,6,,1,,1,2,3,,0,,0,,0,,0,,2
14.05.2017,Landtagswahl NRW,109,5911000,1603,1105,860,245,0,435,2,6,5,429,430,191,181,111,86,24,26,29,37,5,2,29,21,,5,,1,,2,,6,,0,,0,,1,,8,,2,39,48,,0,,0,,0,,0,,0,,0,,0,,1,,1,1,0,,0,,0,,1,,0,,1
14.05.2017,Landtagswahl NRW,109,5911000,1604,984,857,127,0,401,2,13,4,388,397,170,144,89,71,21,19,27,39,10,8,37,36,,2,,6,,2,,19,,0,,0,,0,,0,,5,32,37,,0,,0,,0,,0,,0,,2,,1,,0,,0,2,2,,0,,2,,0,,0,,2
14.05.2017,Landtagswahl NRW,109,5911000,1605,1080,921,159,0,414,0,10,4,404,410,147,134,108,96,35,25,27,36,13,5,36,39,,6,,5,,0,,13,,1,,3,,0,,1,,1,37,35,,4,,0,,1,,0,,0,,0,,1,,2,,1,1,0,,0,,0,,0,,0,,1
14.05.2017,Landtagswahl NRW,109,5911000,1606,1171,1000,171,0,501,1,12,6,489,495,209,175,88,70,36,51,34,33,22,13,56,60,,0,,12,,4,,11,,0,,1,,0,,6,,4,41,44,,1,,0,,1,,0,,0,,0,,2,,0,,2,3,3,,0,,1,,0,,0,,1
14.05.2017,Landtagswahl NRW,109,5911000,1607,1113,945,168,0,475,1,15,15,460,460,210,173,98,91,25,24,40,43,12,1,41,42,,2,,7,,2,,16,,0,,2,,0,,5,,6,34,43,,0,,0,,0,,0,,0,,1,,0,,0,,0,0,0,,0,,0,,0,,1,,1
14.05.2017,Landtagswahl NRW,109,5911000,1801,1406,1166,240,0,650,1,7,7,643,643,271,241,174,162,24,30,40,51,16,6,34,32,,8,,6,,2,,3,,0,,0,,1,,4,,1,80,90,,0,,0,,0,,0,,3,,0,,0,,0,,1,4,1,,0,,1,,0,,0,,0
14.05.2017,Landtagswahl NRW,109,5911000,1802,1208,1004,204,0,462,0,11,9,451,453,200,200,109,101,15,15,38,35,14,9,35,31,,2,,3,,1,,1,,0,,1,,0,,1,,3,39,45,,0,,1,,0,,0,,0,,0,,0,,1,,0,1,1,,1,,1,,0,,0,,0
14.05.2017,Landtagswahl NRW,109,5911000,1803,1247,1065,182,0,571,0,9,6,562,565,249,233,129,116,32,32,27,34,14,9,48,38,,5,,3,,4,,1,,0,,0,,0,,8,,2,62,75,,1,,0,,0,,0,,0,,0,,0,,0,,0,1,2,,0,,0,,0,,2,,0
14.05.2017,Landtagswahl NRW,109,5911000,1804,1288,1056,232,0,583,3,31,15,552,568,250,237,139,111,18,25,35,42,14,6,33,28,,5,,3,,4,,20,,0,,0,,0,,5,,1,62,75,,4,,0,,0,,0,,0,,1,,0,,0,,0,1,0,,0,,1,,0,,0,,0
14.05.2017,Landtagswahl NRW,109,5911000,1805,1081,884,197,0,391,1,7,2,384,389,175,160,87,67,11,17,23,28,13,7,35,38,,4,,4,,0,,6,,0,,1,,0,,3,,5,39,42,,0,,0,,0,,0,,1,,1,,0,,1,,0,1,3,,0,,0,,0,,1,,0
14.05.2017,Landtagswahl NRW,109,5911000,1806,1156,991,165,0,552,7,6,4,546,548,209,188,142,123,47,54,34,39,11,8,69,63,,2,,20,,1,,3,,0,,0,,0,,2,,2,34,38,,0,,0,,0,,0,,0,,0,,1,,0,,0,0,1,,1,,1,,0,,0,,1
14.05.2017,Landtagswahl NRW,109,5916000,2061,1023,904,119,0,478,1,23,14,455,464,189,167,117,102,16,15,33,45,13,11,31,25,,2,,4,,3,,10,,1,,0,,1,,2,,3,55,66,,1,,0,,0,,0,,1,,0,,2,,0,,0,1,2,,0,,0,,0,,0,,1
14.05.2017,Landtagswahl NRW,109,5916000,2062,1063,961,102,0,453,0,22,11,431,442,155,159,116,95,15,11,35,34,13,7,28,20,,3,,0,,3,,15,,0,,0,,1,,6,,3,67,74,,1,,0,,2,,0,,0,,1,,2,,0,,0,2,1,,0,,1,,0,,2,,1
14.05.2017,Landtagswahl NRW,109,5916000,2063,1031,916,115,0,454,1,14,12,440,442,181,181,124,94,22,22,21,26,10,5,34,33,,2,,4,,2,,3,,0,,0,,0,,8,,2,47,51,,0,,0,,0,,0,,0,,1,,3,,1,,0,1,1,,0,,1,,0,,0,,2
14.05.2017,Landtagswahl NRW,109,5916000,2064,1040,932,108,0,440,0,7,4,433,436,184,172,89,71,27,29,39,54,17,6,33,27,,4,,2,,1,,5,,0,,0,,0,,3,,1,44,55,,0,,1,,0,,0,,0,,0,,0,,0,,1,0,0,,0,,1,,0,,0,,3
14.05.2017,Landtagswahl NRW,109,5916000,2071,1153,1049,104,0,515,3,10,6,505,509,199,195,153,126,19,23,34,43,19,7,39,31,,8,,1,,3,,6,,0,,1,,0,,5,,1,40,51,,1,,2,,0,,0,,0,,0,,1,,1,,0,2,1,,1,,1,,0,,0,,0
